"";"prof / largeur";"2";"4";"6";"8";"10";"12";"14";"16";"18";"20";"22";"24";"26";"28";"30";"32";"34";"36";"38";"40";"42";"44";"46";"48";"50";"52";"54";"56";"58";"60";"62";"64";"66";"68";"70";"72";"74";"76";"78";"80";"fichier"
"1";2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"2";4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"3";6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"4";8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"5";10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;"28 Print-Dijon-2018-1"
"6";12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;"28 Print-Dijon-2018-1"
"7";14;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;"28 Print-Dijon-2018-1"
"8";16;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;"28 Print-Dijon-2018-1"
"9";18;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;"28 Print-Dijon-2018-1"
"10";20;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;"28 Print-Dijon-2018-1"
"11";22;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;"28 Print-Dijon-2018-1"
"12";24;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;"28 Print-Dijon-2018-1"
"13";26;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;"28 Print-Dijon-2018-1"
"14";28;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;"28 Print-Dijon-2018-1"
"15";30;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;"28 Print-Dijon-2018-1"
"16";32;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;"28 Print-Dijon-2018-1"
"17";34;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;"28 Print-Dijon-2018-1"
"18";36;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"19";38;1;0;0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;"28 Print-Dijon-2018-1"
"20";40;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"21";42;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"22";44;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;"28 Print-Dijon-2018-1"
"23";46;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;"28 Print-Dijon-2018-1"
"24";48;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;"28 Print-Dijon-2018-1"
"25";50;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;"28 Print-Dijon-2018-1"
"26";52;1;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;"28 Print-Dijon-2018-1"
"27";54;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;"28 Print-Dijon-2018-1"
"28";56;1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;"28 Print-Dijon-2018-1"
"29";58;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;"28 Print-Dijon-2018-1"
"30";60;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;"28 Print-Dijon-2018-1"
"31";62;1;1;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;"28 Print-Dijon-2018-1"
"32";64;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;"28 Print-Dijon-2018-1"
"33";66;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;"28 Print-Dijon-2018-1"
"34";68;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;"28 Print-Dijon-2018-1"
"35";70;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;"28 Print-Dijon-2018-1"
"36";72;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;"28 Print-Dijon-2018-1"
"37";74;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;"28 Print-Dijon-2018-1"
"38";76;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;"28 Print-Dijon-2018-1"
