"";"prof / largeur";"2";"4";"6";"8";"10";"12";"14";"16";"18";"20";"22";"24";"26";"28";"30";"32";"34";"36";"38";"40";"42";"44";"46";"48";"50";"52";"54";"56";"58";"60";"62";"64";"66";"68";"70";"72";"74";"76";"78";"80";"82";"84";"86";"88";"90";"92";"94";"96";"98";"100";"fichier"
"1";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;1;1;2;2;2;2;1;1;1;2;1;1;1;0;0;1;2;"27-VLB-2018-3"
"2";4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;"27-VLB-2018-3"
"3";6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;2;2;2;1;1;1;2;1;2;2;2;1;2;1;2;2;2;"27-VLB-2018-3"
"4";8;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;0;2;2;1;2;0;1;2;2;1;1;1;"27-VLB-2018-3"
"5";10;2;2;2;2;2;2;1;1;1;1;2;2;0;2;2;2;2;0;2;2;2;2;1;2;2;1;1;1;2;2;0;0;1;1;2;2;2;2;2;2;2;2;0;0;2;1;1;2;1;2;"27-VLB-2018-3"
"6";12;2;2;2;2;2;1;0;0;0;0;1;1;1;2;2;0;2;2;2;2;0;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;2;1;2;1;"27-VLB-2018-3"
"7";14;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;0;1;2;0;2;2;2;1;2;2;2;2;0;"27-VLB-2018-3"
"8";16;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;2;1;1;0;1;1;2;2;2;0;0;1;1;0;2;1;"27-VLB-2018-3"
"9";18;2;2;2;1;1;2;2;1;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;0;2;2;2;2;1;2;2;2;1;"27-VLB-2018-3"
"10";20;0;0;0;0;1;2;0;1;1;1;0;1;1;1;1;2;2;2;2;2;2;2;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;0;2;1;2;0;"27-VLB-2018-3"
"11";22;2;2;2;2;2;2;2;2;2;0;2;1;0;2;0;2;2;2;2;2;2;1;1;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0;1;2;2;"27-VLB-2018-3"
"12";24;2;2;2;2;2;1;2;2;2;2;2;2;0;0;1;0;1;1;2;2;0;0;1;0;2;1;1;0;2;2;1;2;2;2;2;2;1;2;0;0;1;0;1;1;1;1;1;2;2;2;"27-VLB-2018-3"
"13";26;2;2;2;2;2;2;2;2;2;0;0;0;2;2;0;0;0;0;1;1;2;1;1;0;0;2;1;0;1;2;0;1;2;0;0;0;2;2;2;1;0;0;1;1;2;2;2;1;2;2;"27-VLB-2018-3"
"14";28;1;0;0;2;2;2;2;0;0;2;1;0;2;2;0;0;0;1;0;0;1;1;0;1;1;1;2;0;1;1;0;1;2;1;0;0;1;2;0;1;1;0;0;0;2;2;2;0;2;2;"27-VLB-2018-3"
"15";30;1;1;1;2;2;0;2;2;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0;1;2;0;0;"27-VLB-2018-3"
"16";32;1;0;0;0;2;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;"27-VLB-2018-3"
"17";34;2;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;1;2;0;0;0;0;2;1;0;1;0;"27-VLB-2018-3"
