;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.013789141051422005, 0.006320022981901752, 0.0560183855214019, 0.0008618213157138753, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0008618213157138753, 0.004883654122378627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.018098247629991383, 0.04854926745188164, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0, 0.019534616489514506, 0.007612754955472565, 0.00502729100833094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.02585463947141626, 0.0, 0.02010916403332376, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.031025567365699513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.03562194771617351, 0.004021832806664752, 0.0, 0.0, 0.03231829933927032, 0.022263717322608446, 0.0, 0.0]
5;50.0;[0.06679115196782534, 0.001580005745475438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0011490950876185005, 0.016087331226659007, 0.0, 0.0, 0.02298190175237001, 0.0, 0.0, 0.0]
6;60.0;[0.013214593507612756, 0.016087331226659007, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.01795461074403907, 0.026860097673082447, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.010341855788566504, 0.011490950876185005, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016374604998563632, 0.04165469692617064, 0.0034472852628555013, 0.02010916403332376, 0.0, 0.004596380350474002, 0.0]
8;80.0;[0.004596380350474002, 0.0, 0.02355644929617926, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.005745475438092502, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.11117494972708991, 0.02930192473427176, 0.0, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.017236426314277506, 0.03389830508474576, 0.04021832806664752, 0.043665613329503014, 0.0]
10;100.0;[0.0034472852628555013, 0.005745475438092502, 0.060471128985923585, 0.007469118069520253, 0.05056018385521402, 0.06722206262568227, 0.012640045963803505, 0.007469118069520253, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00790002872737719, 0.016087331226659007, 0.016087331226659007, 0.0]
11;110.0;[0.0, 0.011490950876185005, 0.0869003160011491, 0.009192760700948004, 0.02355644929617926, 0.012065498419994254, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.032174662453318015, 0.0, 0.0, 0.0, 0.0, 0.012209135305946568, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.08460212582591209, 0.05443837977592646, 0.0, 0.0, 0.0043091065785693765, 0.002585463947141626, 0.04481470841712152, 0.0005745475438092502, 0.017236426314277506, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015512783682849756, 0.041941970698075266, 0.0]
13;130.0;[0.0, 0.04424016087331226, 0.028296466532605574, 0.027721918988796324, 0.0, 0.0, 0.053720195346164894, 0.06004021832806665, 0.009192760700948004, 0.02355644929617926, 0.08273484630853203, 0.006032749209997127, 0.06492387245044527, 0.037345590347601265, 0.0, 0.0, 0.0, 0.06722206262568227, 0.005170927894283252, 0.0]
14;140.0;[0.0, 0.008618213157138753, 0.0514220051709279, 0.06090203964378052, 0.014938236139040505, 0.0, 0.017810973858086755, 0.0, 0.0, 0.05343292157426027, 0.018385521401896008, 0.07900028727377191, 0.07081298477449009, 0.07641482332663029, 0.014363688595231256, 0.0, 0.0, 0.051565642056880204, 0.0, 0.004596380350474002]
15;150.0;[0.0, 0.0, 0.06075840275782821, 0.10126400459638035, 0.06607296753806377, 0.0, 0.0, 0.0, 0.005170927894283252, 0.0068945705257110025, 0.011490950876185005, 0.1304222924446998, 0.10270037345590348, 0.08101120367710428, 0.0, 0.0, 0.0, 0.001292731973570813, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.05458201666187877, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03619649525998277, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.014938236139040505, 0.05400746911806952, 0.05429474288997414, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.021258259120942258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.04912381499569089, 0.007181844297615628, 0.0, 0.015512783682849756, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0]
19;190.0;[0.0, 0.029014650962367137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037345590347601265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.04538925596093077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001292731973570813, 0.0, 0.0, 0.013789141051422005, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.06004021832806665, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.0, 0.013645504165469693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.07181844297615628, 0.0, 0.0, 0.0, 0.0, 0.008043665613329504, 0.0, 0.00043091065785693766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0]
23;230.0;[0.0, 0.0732548118356794, 0.002872737719046251, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.034616489514507326, 0.0, 0.0, 0.0, 0.018385521401896008, 0.02930192473427176, 0.016087331226659007, 0.0, 0.0, 0.013789141051422005, 0.016661878770468257, 0.0]
24;240.0;[0.016087331226659007, 0.05056018385521402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.06779661016949153, 0.004596380350474002, 0.0, 0.0, 0.05113473139902327, 0.013214593507612756, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0]
25;250.0;[0.09997127262280954, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03332375754093651, 0.06032749209997127, 0.016087331226659007, 0.0, 0.07871301350186728, 0.02240735420856076, 0.0, 0.03045101982189026, 0.10586038494685435, 0.023412812410226948, 0.08158575122091354, 0.016087331226659007]
26;260.0;[0.05400746911806952, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.08043665613329504, 0.08833668486067223, 0.04610744039069233, 0.05975294455616202, 0.0, 0.0, 0.0]
27;270.0;[0.06032749209997127, 0.013789141051422005, 0.0, 0.041941970698075266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08503303648376903, 0.06923297902901465, 0.06478023556449296, 0.06190749784544671, 0.017236426314277506, 0.013214593507612756, 0.032174662453318015, 0.015512783682849756]
28;280.0;[0.07713300775639184, 0.07239299051996553, 0.04424016087331226, 0.06363114047687446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06779661016949153, 0.06363114047687446, 0.12596954898017812, 0.09925308819304797, 0.005170927894283252, 0.0, 0.00617638609594944, 0.03045101982189026, 0.0]
29;290.0;[0.00043091065785693766, 0.0, 0.0, 0.0024418270611893133, 0.04538925596093077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.04424016087331226, 0.043091065785693765, 0.05688020683711577, 0.04898017810973858, 0.0, 0.0, 0.0024418270611893133, 0.031025567365699513, 0.03533467394426889]
30;300.0;[0.0, 0.0, 0.0, 0.001580005745475438, 0.06549841999425453, 0.0, 0.0, 0.02930192473427176, 0.005170927894283252, 0.0, 0.036771042803792016, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0011490950876185005, 0.0, 0.0, 0.08330939385234128, 0.004883654122378627]
31;310.0;[0.0, 0.0, 0.0, 0.0024418270611893133, 0.03447285262855501, 0.042516518241884516, 0.0, 0.028727377190462512, 0.009767308244757253, 0.0, 0.0, 0.0, 0.0, 0.014363688595231256, 0.0, 0.02642918701522551, 0.0, 0.006320022981901752, 0.0, 0.0]
32;320.0;[0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.07914392415972421, 0.07756391841424878, 0.010341855788566504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06090203964378052, 0.10456765297328353, 0.09997127262280954, 0.009767308244757253, 0.0, 0.0]
33;330.0;[0.018385521401896008, 0.0, 0.0, 0.0, 0.0, 0.025423728813559324, 0.061476587187589776, 0.08043665613329504, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08560758402757829, 0.17466245331801206, 0.0011490950876185005, 0.0, 0.0]
34;340.0;[0.028727377190462512, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.05400746911806952, 0.0, 0.08158575122091354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09106578569376617, 0.026860097673082447, 0.0, 0.0, 0.0]
35;350.0;[0.047687446136167766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03332375754093651, 0.04481470841712152, 0.0, 0.005745475438092502, 0.02700373455903476, 0.0, 0.006320022981901752, 0.01350186727951738, 0.004740017236426314, 0.007469118069520253, 0.0, 0.0]
36;360.0;[0.04481470841712152, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.03389830508474576, 0.048261993679977015, 0.02470554438379776, 0.004596380350474002, 0.005170927894283252, 0.0, 0.04136742315426602, 0.0606147658718759, 0.13573685722493536, 0.06506750933639759, 0.03332375754093651, 0.02068371157713301, 0.0, 0.0]
37;370.0;[0.04567652973283539, 0.0, 0.0011490950876185005, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07066934788853778, 0.0, 0.07512209135305947, 0.04553289284688308, 0.040936512496409075, 0.05386383223211721, 0.013789141051422005, 0.05027291008330939, 0.007469118069520253, 0.0]
38;380.0;[0.01694915254237288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05084745762711865, 0.0, 0.032174662453318015, 0.0, 0.0, 0.012640045963803505, 0.015512783682849756, 0.04050560183855214, 0.0, 0.0]
