;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.03045101982189026, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02470554438379776, 0.03332375754093651, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.009767308244757253, 0.008618213157138753, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0011490950876185005, 0.018960068945705257, 0.0, 0.09422579718471703, 0.008618213157138753, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.016087331226659007, 0.09020396437805228, 0.08618213157138753, 0.17121516805515657, 0.16259695489801781, 0.004596380350474002, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034616489514507326, 0.0021545532892846882, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.08560758402757829, 0.047687446136167766, 0.02700373455903476, 0.04553289284688308, 0.17997701809824762, 0.09192760700948004, 0.004596380350474002]
6;60.0;[0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.018960068945705257, 0.012640045963803505, 0.0, 0.0, 0.0, 0.011634587762137317, 0.05688020683711577, 0.0005745475438092502, 0.0011490950876185005, 0.0, 0.14119505889112324, 0.10428037920137892, 0.10973858086756678, 0.010916403332375754]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0, 0.0, 0.0, 0.04179833381212295, 0.0, 0.02930192473427176, 0.0034472852628555013, 0.062051134731399026, 0.036340132145935074, 0.04424016087331226, 0.19261706406205115, 0.0320310255673657]
8;80.0;[0.0034472852628555013, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.02298190175237001, 0.014363688595231256, 0.09537489227233553, 0.05400746911806952, 0.08216029876472278, 0.04266015512783683, 0.00502729100833094, 0.06894570525711002, 0.010341855788566504]
9;90.0;[0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.016087331226659007, 0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09336397586900316, 0.048261993679977015, 0.0, 0.0, 0.01694915254237288, 0.03533467394426889, 0.009767308244757253]
10;100.0;[0.0, 0.0, 0.0, 0.016661878770468257, 0.0, 0.02528009192760701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.02930192473427176, 0.052571100258546395, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.024130996839988508, 0.06607296753806377, 0.12525136455041655, 0.038494685435219764, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018960068945705257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.047687446136167766, 0.03504740017236426, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.004596380350474002, 0.004596380350474002, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.012640045963803505, 0.02987647227808101, 0.026716460787130136, 0.08417121516805516, 0.0]
14;140.0;[0.009192760700948004, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042516518241884516, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.011490950876185005, 0.05285837403045102, 0.015512783682849756, 0.06219477161735133, 0.032749209997127264]
15;150.0;[0.0, 0.006320022981901752, 0.013789141051422005, 0.0, 0.0, 0.0, 0.010341855788566504, 0.0034472852628555013, 0.0, 0.0, 0.008618213157138753, 0.0, 0.03619649525998277, 0.036771042803792016, 0.0, 0.0, 0.0017236426314277506, 0.03389830508474576, 0.05731111749497271, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.07727664464234416, 0.003160011490950876, 0.01967825337546682, 0.014938236139040505, 0.02470554438379776, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.002298190175237001, 0.04021832806664752, 0.012783682849755817, 0.09867854064923873, 0.02585463947141626, 0.06305659293306522, 0.02528009192760701, 0.036771042803792016, 0.02815282964665326, 0.021832806664751507]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.011490950876185005, 0.010916403332375754, 0.05917839701235277, 0.016087331226659007, 0.0, 0.0, 0.014938236139040505, 0.002298190175237001, 0.008043665613329504, 0.0]
19;190.0;[0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.002010916403332376, 0.016374604998563632, 0.0, 0.05343292157426027, 0.017810973858086755, 0.0, 0.0, 0.018960068945705257, 0.02528009192760701, 0.02987647227808101, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031169204251651823, 0.032174662453318015, 0.0, 0.0, 0.05975294455616202, 0.0017236426314277506, 0.03906923297902901, 0.02528009192760701, 0.06506750933639759, 0.05960930767020971, 0.0]
21;210.0;[0.0, 0.009767308244757253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055012927319735706, 0.032749209997127264, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.06090203964378052, 0.02298190175237001, 0.0960930767020971, 0.06535478310830221, 0.0]
22;220.0;[0.0017236426314277506, 0.01982189026141913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03906923297902901, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.014363688595231256, 0.02815282964665326, 0.13214593507612754, 0.07469118069520253, 0.0]
23;230.0;[0.04711289859235852, 0.02212008043665613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061476587187589776, 0.07469118069520253, 0.0]
24;240.0;[0.0017236426314277506, 0.011490950876185005, 0.016087331226659007, 0.0, 0.0, 0.021689169778799196, 0.0, 0.0, 0.009192760700948004, 0.058316575696638895, 0.01005458201666188, 0.0, 0.0017236426314277506, 0.0, 0.008330939385234128, 0.03705831657569664, 0.017810973858086755, 0.0, 0.04079287561045677, 0.017236426314277506]
25;250.0;[0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.014507325481183568, 0.0, 0.015512783682849756, 0.02642918701522551, 0.0, 0.02700373455903476, 0.0017236426314277506, 0.0, 0.0, 0.019247342717609882, 0.01235277219189888, 0.011490950876185005, 0.0068945705257110025, 0.0068945705257110025, 0.010916403332375754]
26;260.0;[0.02815282964665326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.059896581442114336, 0.0034472852628555013, 0.0034472852628555013, 0.005745475438092502, 0.00043091065785693766, 0.0, 0.0, 0.04050560183855214, 0.06032749209997127, 0.0]
27;270.0;[0.05860384946854352, 0.024130996839988508, 0.02355644929617926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020540074691180694, 0.02010916403332376, 0.0, 0.0, 0.03863832232117208, 0.0, 0.004596380350474002, 0.11921861534041941, 0.06837115771330078, 0.0]
28;280.0;[0.0, 0.03906923297902901, 0.057454754380925024, 0.0, 0.0, 0.0, 0.01565642056880207, 0.004596380350474002, 0.008043665613329504, 0.0011490950876185005, 0.051996552714737146, 0.04438379775926458, 0.016374604998563632, 0.0, 0.0034472852628555013, 0.004596380350474002, 0.07354208560758403, 0.09767308244757254, 0.03748922723355358, 0.0]
29;290.0;[0.026716460787130136, 0.002298190175237001, 0.002298190175237001, 0.07526572823901177, 0.018960068945705257, 0.002298190175237001, 0.061045676529732834, 0.02815282964665326, 0.0011490950876185005, 0.0, 0.07627118644067797, 0.0, 0.028727377190462512, 0.002298190175237001, 0.0024418270611893133, 0.00560183855214019, 0.09767308244757254, 0.0005745475438092502, 0.0412237862683137, 0.0]
30;300.0;[0.12539500143636886, 0.05357655846021258, 0.0068945705257110025, 0.0, 0.002298190175237001, 0.0, 0.024130996839988508, 0.00847457627118644, 0.0, 0.0, 0.10657856937661592, 0.009192760700948004, 0.08086756679115197, 0.0, 0.024130996839988508, 0.029589198506176386, 0.10600402183280666, 0.02355644929617926, 0.02010916403332376, 0.018960068945705257]
31;310.0;[0.004165469692617064, 0.16072967538063776, 0.037920137891410514, 0.0, 0.0, 0.0, 0.0043091065785693765, 0.040361964952599826, 0.0, 0.02068371157713301, 0.031025567365699513, 0.0, 0.0297328353921287, 0.0, 0.0, 0.07727664464234416, 0.019247342717609882, 0.0, 0.0, 0.0]
32;320.0;[0.037345590347601265, 0.08158575122091354, 0.012065498419994254, 0.0034472852628555013, 0.0, 0.0, 0.010916403332375754, 0.03964378052283826, 0.0, 0.05328928468830796, 0.0, 0.0, 0.04222924446997989, 0.0, 0.0, 0.03447285262855501, 0.013358230393565068, 0.0, 0.0, 0.0]
33;330.0;[0.0011490950876185005, 0.07727664464234416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03188738868141339, 0.0, 0.10844584889399597, 0.04711289859235852, 0.017810973858086755, 0.12324044814708417, 0.0, 0.007756391841424878, 0.013789141051422005, 0.08086756679115197, 0.07124389543234702, 0.02987647227808101, 0.0068945705257110025]
34;340.0;[0.0, 0.03705831657569664, 0.03964378052283826, 0.0, 0.0, 0.0, 0.0, 0.02212008043665613, 0.04481470841712152, 0.0914966963516231, 0.04883654122378627, 0.02355644929617926, 0.0960930767020971, 0.04811835679402471, 0.041941970698075266, 0.001292731973570813, 0.0, 0.09551852915828785, 0.03332375754093651, 0.0034472852628555013]
35;350.0;[0.0, 0.008043665613329504, 0.05113473139902327, 0.0, 0.0, 0.0, 0.0, 0.037345590347601265, 0.04136742315426602, 0.08172938810686585, 0.06090203964378052, 0.04481470841712152, 0.11577133007756392, 0.046825624820453896, 0.005458201666187877, 0.00043091065785693766, 0.0, 0.07655846021258259, 0.023269175524274634, 0.008043665613329504]
36;360.0;[0.0, 0.011490950876185005, 0.08201666187877046, 0.030020109164033325, 0.0, 0.0, 0.0, 0.0, 0.06995116345877621, 0.04711289859235852, 0.02987647227808101, 0.009192760700948004, 0.07181844297615628, 0.047687446136167766, 0.00790002872737719, 0.0, 0.0, 0.018960068945705257, 0.21804079287561046, 0.022838264866417695]
37;370.0;[0.03389830508474576, 0.0, 0.06779661016949153, 0.11577133007756392, 0.0, 0.0, 0.0, 0.0, 0.12309681126113185, 0.05285837403045102, 0.0, 0.0, 0.0, 0.06549841999425453, 0.03691467968974432, 0.0, 0.012640045963803505, 0.0, 0.045820166618787704, 0.0068945705257110025]
38;380.0;[0.0709566216604424, 0.0002872737719046251, 0.02470554438379776, 0.06118931341568515, 0.0, 0.0, 0.0, 0.026860097673082447, 0.06664751508187303, 0.0, 0.0, 0.0, 0.0, 0.02700373455903476, 0.05113473139902327, 0.05127836828497558, 0.0, 0.0, 0.0005745475438092502, 0.017236426314277506]
39;390.0;[0.006032749209997127, 0.06923297902901465, 0.0, 0.07871301350186728, 0.04610744039069233, 0.0021545532892846882, 0.009049123814995692, 0.15081873024992817, 0.0, 0.02700373455903476, 0.02068371157713301, 0.0, 0.0, 0.0, 0.1373168629704108, 0.010198218902614192, 0.0, 0.0, 0.0, 0.0]
40;400.0;[0.0, 0.048261993679977015, 0.08632576845733984, 0.14579143924159724, 0.02068371157713301, 0.0, 0.040649238724504454, 0.0, 0.05228382648664177, 0.07526572823901177, 0.0007181844297615628, 0.003878195920712439, 0.004596380350474002, 0.0, 0.04998563631140477, 0.1281241022694628, 0.0, 0.0, 0.017236426314277506, 0.0]
41;410.0;[0.012640045963803505, 0.0, 0.014363688595231256, 0.05056018385521402, 0.0, 0.0, 0.055874748635449584, 0.0, 0.0068945705257110025, 0.03389830508474576, 0.02298190175237001, 0.0, 0.0, 0.007181844297615628, 0.0, 0.16661878770468255, 0.015369146796897444, 0.013932777937374317, 0.0011490950876185005, 0.0]
42;420.0;[0.028583740304510198, 0.0, 0.02298190175237001, 0.04998563631140477, 0.0, 0.014363688595231256, 0.09465670784257398, 0.054151106004021836, 0.03533467394426889, 0.0, 0.0, 0.0, 0.0, 0.027291008330939386, 0.04639471416259695, 0.04352197644355071, 0.06664751508187303, 0.05343292157426027, 0.021832806664751507, 0.001292731973570813]
43;430.0;[0.04725653547831083, 0.0017236426314277506, 0.010916403332375754, 0.06262568227520827, 0.0, 0.013214593507612756, 0.10198218902614191, 0.07382935937948865, 0.04912381499569089, 0.0, 0.0, 0.0, 0.0, 0.038494685435219764, 0.11131858661304223, 0.03260557311117495, 0.04941108876759552, 0.057454754380925024, 0.019534616489514506, 0.016302786555587475]
44;440.0;[0.08043665613329504, 0.0, 0.0, 0.011060040218328066, 0.0, 0.031025567365699513, 0.0, 0.0, 0.04596380350474002, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.04969836253950014, 0.06434932490663603, 0.06549841999425453, 0.010341855788566504, 0.10571674806090205, 0.017810973858086755]
45;450.0;[0.08733122665900603, 0.0, 0.0, 0.005889112324044815, 0.0, 0.0, 0.0, 0.04424016087331226, 0.02470554438379776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03906923297902901, 0.01580005745475438, 0.06032749209997127, 0.08273484630853203, 0.02642918701522551, 0.0]
46;460.0;[0.03030738293593795, 0.010341855788566504, 0.0005745475438092502, 0.025567365699511634, 0.0, 0.0, 0.0, 0.05616202240735421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04323470267164608, 0.03145647802355645, 0.010341855788566504, 0.05644929617925883, 0.03375466819879345, 0.008043665613329504]
47;470.0;[0.04151106004021833, 0.02298190175237001, 0.0, 0.058029301924734274, 0.0, 0.006320022981901752, 0.0, 0.004165469692617064, 0.0, 0.0, 0.0, 0.032749209997127264, 0.026860097673082447, 0.055300201091640334, 0.02255099109451307, 0.044671071531169206, 0.0, 0.014794599253088193, 0.040361964952599826, 0.0]
48;480.0;[0.0686584314852054, 0.02987647227808101, 0.0, 0.039500143636885955, 0.0, 0.0, 0.008761850043091065, 0.0005745475438092502, 0.0, 0.009192760700948004, 0.021832806664751507, 0.02010916403332376, 0.012640045963803505, 0.0, 0.021258259120942258, 0.006320022981901752, 0.0, 0.04151106004021833, 0.004596380350474002, 0.0]
49;490.0;[0.04395288710140764, 0.005745475438092502, 0.03174375179546107, 0.05544383797759265, 0.008043665613329504, 0.005170927894283252, 0.02800919276070095, 0.0, 0.0011490950876185005, 0.004596380350474002, 0.0, 0.0, 0.02082734846308532, 0.00502729100833094, 0.0, 0.016087331226659007, 0.0, 0.0389255960930767, 0.0017236426314277506, 0.0]
50;500.0;[0.008043665613329504, 0.02355644929617926, 0.11246768170066072, 0.0, 0.0, 0.0008618213157138753, 0.039787417408790576, 0.05817293881068659, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04840563056592933, 0.0, 0.037920137891410514, 0.0, 0.0]
51;510.0;[0.0, 0.0034472852628555013, 0.04352197644355071, 0.0, 0.008043665613329504, 0.0, 0.010341855788566504, 0.03504740017236426, 0.017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.03562194771617351, 0.03389830508474576, 0.05271473714449871, 0.013789141051422005, 0.0, 0.0, 0.0]
