;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03045101982189026, 0.04021832806664752, 0.0068945705257110025, 0.1212295317437518, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.014004596380350474]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010916403332375754, 0.04596380350474002, 0.06032749209997127, 0.05975294455616202, 0.06262568227520827, 0.05860384946854352, 0.05573111174949727, 0.04481470841712152, 0.021832806664751507, 0.02298190175237001, 0.015512783682849756, 0.08790577420281528, 0.08158575122091354, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10341855788566504, 0.05228382648664177, 0.03045101982189026, 0.09882217753519104, 0.15986785406492388, 0.050416546969261705, 0.017810973858086755, 0.16259695489801781, 0.11490950876185005, 0.0005745475438092502, 0.0, 0.0]
3;30.0;[0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05400746911806952, 0.017236426314277506, 0.0, 0.12180407928756104, 0.09537489227233553, 0.1545532892846883, 0.005745475438092502, 0.03389830508474576, 0.08848032174662453, 0.20425165182418845, 0.17696064349324905, 0.10715311692042516, 0.009767308244757253]
4;40.0;[0.0, 0.0, 0.0008618213157138753, 0.025567365699511634, 0.0, 0.017236426314277506, 0.021401896006894572, 0.0847457627118644, 0.0, 0.08158575122091354, 0.023700086182131572, 0.12079862108589486, 0.02642918701522551, 0.019534616489514506, 0.017810973858086755, 0.017236426314277506, 0.013789141051422005, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021258259120942258, 0.0949439816144786, 0.0, 0.07986210858948578, 0.07971847170353347, 0.06765297328353921, 0.013932777937374317, 0.009623671358804941, 0.061045676529732834, 0.11074403906923298, 0.030163746049985635, 0.0, 0.00043091065785693766, 0.010485492674518817]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0857512209135306, 0.020970985349037633, 0.05357655846021258, 0.0709566216604424, 0.07727664464234416, 0.0, 0.02010916403332376, 0.057454754380925024, 0.02298190175237001, 0.07813846595805803, 0.07756391841424878, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.09681126113185866, 0.026860097673082447, 0.08201666187877046, 0.0, 0.02355644929617926, 0.017236426314277506, 0.0, 0.041941970698075266, 0.08848032174662453, 0.05573111174949727, 0.11577133007756392, 0.004596380350474002, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0755530020109164, 0.02082734846308532, 0.0, 0.0, 0.06262568227520827, 0.06248204538925596, 0.12424590634875037, 0.08517667336972135, 0.04380925021545533, 0.02484918126975007, 0.1269750071818443, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0788566503878196, 0.0767020970985349, 0.0, 0.046825624820453896, 0.15498419994254525, 0.0, 0.009767308244757253, 0.0, 0.04653835104854927, 0.019247342717609882, 0.13415685147945994, 0.016087331226659007, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.04495834530307383, 0.10370583165756966, 0.0, 0.0, 0.09135305946567078, 0.016087331226659007, 0.10858948577994829, 0.03160011490950876, 0.14464234415397875, 0.04380925021545533, 0.0767020970985349, 0.01120367710428038, 0.01522550991094513, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.01982189026141913, 0.11045676529732835, 0.043665613329503014, 0.02930192473427176, 0.04596380350474002, 0.09480034472852629, 0.0, 0.10916403332375754, 0.02700373455903476, 0.0469692617064062, 0.03145647802355645, 0.07928756104567652, 0.004596380350474002, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05688020683711577, 0.02757828210284401, 0.02528009192760701, 0.07526572823901177, 0.03045101982189026, 0.0, 0.04596380350474002, 0.07196207986210859, 0.008618213157138753, 0.18916977879919564, 0.02757828210284401, 0.015943694340706693, 0.009192760700948004, 0.0]
13;130.0;[0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047687446136167766, 0.0, 0.04596380350474002, 0.0709566216604424, 0.05056018385521402, 0.10456765297328353, 0.09853490376328641, 0.10902039643780523, 0.11275495547256535, 0.1473714449870727, 0.05185291582878483, 0.08819304797471991, 0.03533467394426889, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.03935650675093364, 0.0021545532892846882, 0.11045676529732835, 0.002298190175237001, 0.015512783682849756, 0.1374604998563631, 0.024418270611893136, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.03619649525998277, 0.0, 0.06434932490663603, 0.08302212008043666, 0.08129847744900891, 0.05860384946854352, 0.0, 0.06305659293306522, 0.0, 0.0, 0.04596380350474002, 0.08962941683424304, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048261993679977015, 0.1453605285837403, 0.016087331226659007, 0.004596380350474002, 0.05400746911806952, 0.0, 0.0, 0.1200804366561333, 0.011490950876185005, 0.0, 0.032174662453318015, 0.08129847744900891, 0.0043091065785693765]
17;170.0;[0.0, 0.0017236426314277506, 0.06492387245044527, 0.0017236426314277506, 0.0, 0.0, 0.08172938810686585, 0.11534041941970698, 0.05228382648664177, 0.008043665613329504, 0.02068371157713301, 0.0744039069232979, 0.0, 0.013789141051422005, 0.06952025280091928, 0.1108876759551853, 0.0, 0.0, 0.019965527147371445, 0.03691467968974432]
18;180.0;[0.0, 0.0, 0.0005745475438092502, 0.02010916403332376, 0.02815282964665326, 0.0, 0.009767308244757253, 0.04136742315426602, 0.0, 0.0, 0.0, 0.0617638609594944, 0.0, 0.08431485205400747, 0.008618213157138753, 0.05285837403045102, 0.0, 0.0, 0.03447285262855501, 0.012640045963803505]
19;190.0;[0.0, 0.02757828210284401, 0.0, 0.0, 0.02470554438379776, 0.04941108876759552, 0.041941970698075266, 0.0, 0.037345590347601265, 0.014363688595231256, 0.0, 0.04481470841712152, 0.0, 0.07196207986210859, 0.01565642056880207, 0.07167480609020396, 0.07928756104567652, 0.06090203964378052, 0.002298190175237001, 0.0]
20;200.0;[0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.03964378052283826, 0.0, 0.0, 0.004596380350474002, 0.05515656420568802, 0.0, 0.042516518241884516, 0.07727664464234416, 0.09681126113185866, 0.05027291008330939, 0.018385521401896008, 0.04021832806664752, 0.08445848893995977, 0.02355644929617926, 0.0]
21;210.0;[0.0, 0.028727377190462512, 0.0, 0.0, 0.0, 0.04912381499569089, 0.0, 0.0, 0.031025567365699513, 0.06377477736282677, 0.02815282964665326, 0.0, 0.021832806664751507, 0.016661878770468257, 0.012065498419994254, 0.0, 0.044096523987359956, 0.10155127836828498, 0.016661878770468257, 0.0]
22;220.0;[0.02528009192760701, 0.025567365699511634, 0.0, 0.004596380350474002, 0.0, 0.06693478885377765, 0.0, 0.0, 0.02815282964665326, 0.05400746911806952, 0.02240735420856076, 0.0, 0.0686584314852054, 0.008043665613329504, 0.021832806664751507, 0.0, 0.06908934214306234, 0.1028440103418558, 0.03935650675093364, 0.006320022981901752]
23;230.0;[0.06722206262568227, 0.01407641482332663, 0.03619649525998277, 0.015512783682849756, 0.0, 0.06262568227520827, 0.02930192473427176, 0.016661878770468257, 0.02484918126975007, 0.00675093363975869, 0.0, 0.021832806664751507, 0.03562194771617351, 0.04883654122378627, 0.02987647227808101, 0.0, 0.0389255960930767, 0.0, 0.0, 0.004596380350474002]
