;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.002872737719046251, 0.02930192473427176, 0.042516518241884516, 0.02585463947141626, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02068371157713301, 0.05917839701235277, 0.010341855788566504, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.011490950876185005, 0.03806377477736283, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.058029301924734274, 0.005745475438092502, 0.0, 0.0, 0.037345590347601265, 0.03188738868141339, 0.007756391841424878, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.10614765871875897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.03160011490950876, 0.0, 0.004596380350474002, 0.09882217753519104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05113473139902327, 0.017810973858086755, 0.02010916403332376, 0.0, 0.0, 0.02930192473427176, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.02757828210284401, 0.09077851192186154, 0.015512783682849756, 0.0, 0.0, 0.0005745475438092502, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.005170927894283252, 0.10571674806090205, 0.1190749784544671, 0.10384946854352198, 0.018385521401896008, 0.05458201666187877, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.02987647227808101, 0.016661878770468257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.15254237288135594, 0.19132433208848032, 0.21631715024418272, 0.20899166906061475, 0.025998276357368573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051565642056880204, 0.0, 0.0, 0.04021832806664752, 0.037345590347601265, 0.0, 0.016087331226659007, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.002298190175237001, 0.012640045963803505, 0.018241884515943694, 0.10815857512209136, 0.002010916403332376, 0.0, 0.0, 0.0, 0.0, 0.04438379775926458, 0.0, 0.002298190175237001, 0.04021832806664752, 0.02355644929617926, 0.10973858086756678, 0.012640045963803505, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.03389830508474576, 0.0, 0.04222924446997989, 0.04108014938236139, 0.1969261706406205, 0.011634587762137317, 0.0, 0.0, 0.0, 0.04179833381212295, 0.0, 0.04625107727664464, 0.13860959494398162, 0.12424590634875037, 0.0, 0.0, 0.010485492674518817, 0.032749209997127264]
11;110.0;[0.0, 0.009767308244757253, 0.02757828210284401, 0.02757828210284401, 0.05515656420568802, 0.0, 0.014794599253088193, 0.04754380925021545, 0.0, 0.0, 0.0, 0.001292731973570813, 0.0, 0.018385521401896008, 0.09882217753519104, 0.0, 0.0, 0.03648376903188739, 0.10241309968399885, 0.016877334099396724]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.07584027578282103, 0.08445848893995977, 0.02757828210284401, 0.019534616489514506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10112036771042804, 0.0, 0.0, 0.05056018385521402, 0.04222924446997989, 0.15139327779373743, 0.011490950876185005]
13;130.0;[0.04136742315426602, 0.0, 0.0, 0.0, 0.0, 0.11031312841137604, 0.016087331226659007, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.06492387245044527, 0.0, 0.0, 0.0]
14;140.0;[0.03447285262855501, 0.03160011490950876, 0.06779661016949153, 0.0, 0.0, 0.027291008330939386, 0.04854926745188164, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04021832806664752, 0.09652398735995403, 0.05573111174949727, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.10514220051709279, 0.0, 0.0, 0.008618213157138753, 0.11591496696351623, 0.01852915828784832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.014363688595231256, 0.07512209135305947, 0.0, 0.0, 0.10945130709566217, 0.006032749209997127, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.03418557885665039, 0.01235277219189888, 0.0, 0.0, 0.0, 0.0]
