;profondeur_(mm);root_proportion
18;180.0;[0.0, 0.05429474288997414, 0.0017236426314277506, 0.05486929043378339, 0.08862395863257684, 0.018672795173800633, 0.0, 0.03619649525998277, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.024130996839988508, 0.014363688595231256, 0.03504740017236426, 0.02298190175237001, 0.05573111174949727, 0.08833668486067223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.014938236139040505, 0.06837115771330078, 0.09451307095662166, 0.028583740304510198, 0.0, 0.07598391266877334, 0.029158287848319447, 0.0, 0.018816432059752943, 0.04840563056592933, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.02815282964665326, 0.09709853490376329, 0.08086756679115197, 0.08330939385234128, 0.0011490950876185005, 0.10700948003447286, 0.0744039069232979, 0.005889112324044815, 0.0, 0.008043665613329504, 0.0, 0.037345590347601265, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.032174662453318015, 0.07698937087043953, 0.06779661016949153, 0.03562194771617351, 0.012640045963803505, 0.10614765871875897, 0.10083309393852341, 0.0068945705257110025, 0.0, 0.0, 0.00502729100833094, 0.035765584602125824, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
23;230.0;[0.0, 0.05917839701235277, 0.07296753806377478, 0.0, 0.0, 0.05903476012640046, 0.09537489227233553, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
24;240.0;[0.0, 0.012065498419994254, 0.0, 0.0, 0.03835104854926745, 0.05860384946854352, 0.1075840275782821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
25;250.0;[0.03964378052283826, 0.0, 0.03045101982189026, 0.0, 0.01910370583165757, 0.06894570525711002, 0.06592933065211146, 0.011490950876185005, 0.053145647802355644, 0.03935650675093364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
26;260.0;[0.02240735420856076, 0.0, 0.0, 0.0, 0.0, 0.008618213157138753, 0.10399310542947429, 0.08431485205400747, 0.0, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0008618213157138753, 0.01005458201666188, 0.0, 0.0, 0.0, 0.0, 0.0]
27;270.0;[0.0, 0.09077851192186154, 0.009192760700948004, 0.0, 0.0, 0.0, 0.004596380350474002, 0.12137316862970411, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
