;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.02757828210284401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0017236426314277506, 0.0]
5;50.0;[0.0, 0.0, 0.013789141051422005, 0.038494685435219764, 0.02700373455903476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.034903763286411954, 0.030020109164033325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.012640045963803505, 0.0, 0.0, 0.0034472852628555013, 0.05285837403045102, 0.02355644929617926, 0.0, 0.03562194771617351, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028727377190462512, 0.0, 0.057454754380925024, 0.013214593507612756, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.042516518241884516, 0.0, 0.0, 0.028727377190462512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03389830508474576, 0.10054582016661878, 0.03504740017236426, 0.05056018385521402, 0.02642918701522551, 0.0, 0.0]
10;100.0;[0.02212008043665613, 0.0014363688595231256, 0.0, 0.0, 0.0, 0.004596380350474002, 0.005170927894283252, 0.004596380350474002, 0.004596380350474002, 0.03504740017236426, 0.0, 0.0, 0.0, 0.07928756104567652, 0.03160011490950876, 0.007469118069520253, 0.05285837403045102, 0.0, 0.017810973858086755, 0.0]
11;110.0;[0.030738293593794888, 0.007181844297615628, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.021832806664751507, 0.05285837403045102, 0.04136742315426602, 0.06664751508187303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06664751508187303, 0.014938236139040505, 0.0]
12;120.0;[0.013789141051422005, 0.017236426314277506, 0.0, 0.010916403332375754, 0.004596380350474002, 0.019534616489514506, 0.03906923297902901, 0.0, 0.0017236426314277506, 0.009192760700948004, 0.005745475438092502, 0.0017236426314277506, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.04136742315426602, 0.0, 0.0, 0.0, 0.0030163746049985635, 0.030020109164033325, 0.005458201666187877, 0.018385521401896008, 0.009192760700948004, 0.043091065785693765, 0.018385521401896008, 0.032174662453318015, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.02298190175237001, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.037920137891410514, 0.0034472852628555013, 0.0, 0.02355644929617926, 0.0, 0.004596380350474002, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.021258259120942258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00847457627118644, 0.007038207411663315, 0.0, 0.0, 0.0, 0.0, 0.02642918701522551, 0.09020396437805228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0068945705257110025, 0.007469118069520253, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.032749209997127264, 0.009192760700948004, 0.0, 0.0, 0.0, 0.001292731973570813, 0.044671071531169206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.01967825337546682, 0.07627118644067797, 0.05515656420568802, 0.0, 0.0, 0.0, 0.026572823901177822, 0.0, 0.0, 0.009192760700948004, 0.006320022981901752, 0.041941970698075266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.009767308244757253, 0.10801493823613904, 0.13415685147945994, 0.09350761275495548, 0.021114622234989944, 0.026285550129273198, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.08187302499281815, 0.1294168342430336, 0.12079862108589486, 0.1407641482332663, 0.07066934788853778, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.043665613329503014, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.02470554438379776, 0.0, 0.010916403332375754, 0.0652111462223499, 0.07727664464234416, 0.12640045963803503, 0.16977879919563343, 0.15053145647802355, 0.06980752657282391, 0.0, 0.0, 0.0, 0.03160011490950876, 0.05458201666187877, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.006320022981901752, 0.0, 0.00560183855214019, 0.07871301350186728, 0.11347313990232692, 0.11289859235851767, 0.08618213157138753, 0.12108589485779948, 0.032174662453318015, 0.0, 0.0, 0.0, 0.04395288710140764, 0.04337833955759839, 0.0, 0.0, 0.0, 0.0]
23;230.0;[0.0017236426314277506, 0.0, 0.0, 0.0, 0.001292731973570813, 0.0, 0.0, 0.0, 0.02068371157713301, 0.07828210284401034, 0.03619649525998277, 0.0, 0.0, 0.03160011490950876, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0]
