;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.021832806664751507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.020540074691180694, 0.055300201091640334, 0.002298190175237001, 0.0, 0.008043665613329504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.05170927894283252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0, 0.015512783682849756, 0.02757828210284401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.042516518241884516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.042516518241884516, 0.0, 0.0, 0.0, 0.0, 0.0002872737719046251, 0.007181844297615628, 0.0, 0.0, 0.004021832806664752, 0.12324044814708417, 0.03562194771617351, 0.0, 0.0, 0.0, 0.015512783682849756, 0.028727377190462512, 0.0, 0.0, 0.0]
10;100.0;[0.0034472852628555013, 0.10916403332375754, 0.05688020683711577, 0.02757828210284401, 0.03332375754093651, 0.1016949152542373, 0.06779661016949153, 0.0, 0.0, 0.0, 0.01177822464808963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.02642918701522551, 0.03447285262855501, 0.11548405630565929, 0.1258259120942258, 0.16202240735420856, 0.10112036771042804, 0.02642918701522551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.04653835104854927, 0.0, 0.08287848319448435, 0.1258259120942258, 0.14593507612754955, 0.0949439816144786, 0.04941108876759552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.009192760700948004, 0.11433496121804079, 0.1016949152542373, 0.18371157713300776, 0.08058029301924734, 0.24446997989083596, 0.07813846595805803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.008618213157138753, 0.0, 0.12525136455041655, 0.14363688595231255, 0.07914392415972421, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01982189026141913, 0.0043091065785693765]
15;150.0;[0.016661878770468257, 0.0, 0.00043091065785693766, 0.1087331226659006, 0.05975294455616202, 0.03921286986498133, 0.0, 0.0, 0.06032749209997127, 0.04883654122378627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.020970985349037633]
16;160.0;[0.09250215455328928, 0.003303648376903189, 0.0, 0.07124389543234702, 0.06952025280091928, 0.02010916403332376, 0.09939672507900028, 0.02528009192760701, 0.1384659580580293, 0.0, 0.0, 0.0, 0.004596380350474002, 0.004596380350474002, 0.0, 0.0, 0.0034472852628555013, 0.018385521401896008, 0.0, 0.0]
17;170.0;[0.04998563631140477, 0.028296466532605574, 0.0, 0.062051134731399026, 0.03619649525998277, 0.023269175524274634, 0.0594656707842574, 0.1476587187589773, 0.1557023843723068, 0.06549841999425453, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.0]
18;180.0;[0.06851479459925308, 0.0, 0.0, 0.05357655846021258, 0.0, 0.0594656707842574, 0.047974719908072394, 0.06492387245044527, 0.07584027578282103, 0.1120367710428038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.008043665613329504, 0.0, 0.0]
19;190.0;[0.0021545532892846882, 0.0, 0.0, 0.07914392415972421, 0.013789141051422005, 0.11031312841137604, 0.07641482332663029, 0.07411663315139327, 0.17121516805515657, 0.16661878770468255, 0.0, 0.0, 0.03562194771617351, 0.03389830508474576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.04538925596093077, 0.08273484630853203, 0.05860384946854352, 0.005170927894283252, 0.0, 0.04538925596093077, 0.19807526572823902, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.01982189026141913, 0.09480034472852629, 0.02240735420856076, 0.0, 0.0, 0.0, 0.11648951450732548, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.019534616489514506, 0.0, 0.0, 0.018672795173800633, 0.09350761275495548, 0.01407641482332663, 0.0, 0.0, 0.0, 0.13458776213731685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02240735420856076, 0.0, 0.0]
