;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.06434932490663603, 0.08158575122091354, 0.008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0377765010054582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.15929330652111462, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0, 0.014363688595231256, 0.03619649525998277, 0.0, 0.0, 0.0, 0.0, 0.018960068945705257, 0.018385521401896008, 0.0, 0.0, 0.0]
10;100.0;[0.055874748635449584, 0.07110025854639472, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0068945705257110025, 0.09135305946567078, 0.04136742315426602, 0.07641482332663029, 0.043091065785693765, 0.015512783682849756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.03045101982189026, 0.0, 0.0560183855214019, 0.025567365699511634, 0.09192760700948004, 0.036771042803792016, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.02987647227808101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.024130996839988508, 0.004596380350474002, 0.11462223498994542, 0.10600402183280666, 0.06664751508187303, 0.09077851192186154, 0.0, 0.0, 0.0, 0.002298190175237001, 0.011490950876185005, 0.0, 0.0, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.02298190175237001, 0.07153116920425165, 0.09077851192186154, 0.010341855788566504, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.03964378052283826, 0.0]
15;150.0;[0.02757828210284401, 0.0, 0.0, 0.047400172364263145, 0.07411663315139327, 0.02700373455903476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018960068945705257, 0.0]
16;160.0;[0.054151106004021836, 0.0, 0.0, 0.044096523987359956, 0.06578569376615916, 0.010341855788566504, 0.0, 0.0, 0.028440103418557884, 0.0, 0.0, 0.0, 0.03562194771617351, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0]
17;170.0;[0.00675093363975869, 0.0, 0.0, 0.044671071531169206, 0.05630565929330652, 0.0, 0.024130996839988508, 0.005745475438092502, 0.004883654122378627, 0.0, 0.0, 0.0, 0.021258259120942258, 0.0, 0.0, 0.0, 0.007469118069520253, 0.010341855788566504, 0.0, 0.0]
18;180.0;[0.018385521401896008, 0.0, 0.0, 0.03260557311117495, 0.03590922148807814, 0.03806377477736283, 0.0, 0.07239299051996553, 0.0034472852628555013, 0.02528009192760701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.06305659293306522, 0.0, 0.05271473714449871, 0.0696638896868716, 0.08603849468543522, 0.13214593507612754, 0.043665613329503014, 0.0, 0.0, 0.02298190175237001, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.04021832806664752, 0.05400746911806952, 0.037920137891410514, 0.004021832806664752, 0.0, 0.07469118069520253, 0.06090203964378052, 0.031025567365699513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.026716460787130136, 0.05860384946854352, 0.0, 0.0, 0.0, 0.06894570525711002, 0.05285837403045102, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.0, 0.02355644929617926, 0.06506750933639759, 0.0, 0.0, 0.0, 0.06219477161735133, 0.07382935937948865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.009480034472852629, 0.0, 0.0]
23;230.0;[0.0, 0.033611031312841134, 0.03533467394426889, 0.04222924446997989, 0.04926745188164321, 0.0, 0.03045101982189026, 0.0, 0.0, 0.07655846021258259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.0640620511347314, 0.0008618213157138753, 0.0, 0.0]
