;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010916403332375754, 0.0, 0.0, 0.0, 0.004021832806664752, 0.0005745475438092502, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.009767308244757253, 0.04136742315426602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0068945705257110025, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005170927894283252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013]
6;60.0;[0.0, 0.0, 0.030738293593794888, 0.032461936225222636, 0.0, 0.0, 0.0011490950876185005, 0.009767308244757253, 0.039787417408790576, 0.004021832806664752, 0.0, 0.010916403332375754, 0.006320022981901752, 0.031025567365699513, 0.0, 0.021258259120942258, 0.0, 0.0, 0.0011490950876185005, 0.038494685435219764]
7;70.0;[0.0, 0.0, 0.0, 0.02528009192760701, 0.04424016087331226, 0.0, 0.0, 0.0, 0.022263717322608446, 0.004596380350474002, 0.0, 0.0, 0.0, 0.02757828210284401, 0.04136742315426602, 0.018960068945705257, 0.0, 0.0, 0.005745475438092502, 0.0]
8;80.0;[0.0, 0.009192760700948004, 0.02757828210284401, 0.0, 0.01738006320022982, 0.05616202240735421, 0.02815282964665326, 0.06880206837115771, 0.0800057454754381, 0.1417696064349325, 0.0, 0.0, 0.0, 0.05429474288997414, 0.04294742889974145, 0.0, 0.0, 0.038494685435219764, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.002298190175237001, 0.004596380350474002, 0.037920137891410514, 0.02240735420856076, 0.16317150244182707, 0.12596954898017812, 0.0, 0.09365124964090779, 0.0, 0.0, 0.0, 0.04653835104854927, 0.10557311117494973, 0.03562194771617351, 0.05688020683711577, 0.02642918701522551, 0.0, 0.0]
10;100.0;[0.012496409077851192, 0.028871014076414823, 0.013789141051422005, 0.0, 0.0, 0.02757828210284401, 0.13817868428612468, 0.13027865555874749, 0.05127836828497558, 0.06305659293306522, 0.0, 0.0, 0.04079287561045677, 0.05975294455616202, 0.0005745475438092502, 0.014938236139040505, 0.057454754380925024, 0.0, 0.0, 0.0]
11;110.0;[0.02930192473427176, 0.0, 0.02298190175237001, 0.02470554438379776, 0.014363688595231256, 0.08158575122091354, 0.10959494398161448, 0.05458201666187877, 0.12410226946279805, 0.08733122665900603, 0.09882217753519104, 0.0034472852628555013, 0.0, 0.0, 0.015512783682849756, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.012640045963803505, 0.057454754380925024, 0.05113473139902327, 0.07813846595805803, 0.04596380350474002, 0.037920137891410514, 0.09307670209709853, 0.015512783682849756, 0.05616202240735421, 0.07684573398448721, 0.037920137891410514, 0.012640045963803505, 0.0, 0.010916403332375754, 0.03562194771617351, 0.011490950876185005, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.018385521401896008, 0.0005745475438092502, 0.0, 0.03691467968974432, 0.0869003160011491, 0.021545532892846882, 0.04136742315426602, 0.0053145647802355644, 0.08776213731686297, 0.06664751508187303, 0.05400746911806952, 0.009192760700948004, 0.08043665613329504, 0.01465096236713588, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.00790002872737719, 0.04136742315426602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05486929043378339, 0.004596380350474002, 0.013214593507612756, 0.08962941683424304, 0.019965527147371445, 0.008905486929043378, 0.0, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.013932777937374317, 0.016087331226659007, 0.005170927894283252, 0.0, 0.0, 0.0, 0.0, 0.04941108876759552, 0.0, 0.0, 0.0, 0.07426027003734559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.005170927894283252, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020970985349037633, 0.10887675955185291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.01522550991094513, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.032174662453318015, 0.0, 0.0, 0.017236426314277506, 0.0686584314852054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.016230968112611318, 0.10428037920137892, 0.09192760700948004, 0.0, 0.0, 0.018960068945705257, 0.07181844297615628, 0.0005745475438092502, 0.0, 0.009192760700948004, 0.016661878770468257, 0.04854926745188164, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.05731111749497271, 0.10456765297328353, 0.09135305946567078, 0.10973858086756678, 0.06894570525711002, 0.08503303648376903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.015512783682849756, 0.04596380350474002, 0.11548405630565929, 0.11376041367423154, 0.08503303648376903, 0.16848606722206264, 0.08948577994829073, 0.07871301350186728, 0.0, 0.0, 0.0, 0.0, 0.02757828210284401, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.009192760700948004, 0.017236426314277506, 0.05113473139902327, 0.04538925596093077, 0.016661878770468257, 0.16173513358230393, 0.19936799770180982, 0.07038207411663315, 0.0, 0.0, 0.0, 0.051565642056880204, 0.03691467968974432, 0.0, 0.0, 0.0, 0.0]
