;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02240735420856076, 0.004596380350474002, 0.004596380350474002, 0.015512783682849756, 0.004596380350474002, 0.004596380350474002, 0.010341855788566504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.007469118069520253, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.004596380350474002, 0.0, 0.02470554438379776, 0.03562194771617351, 0.0, 0.0, 0.0]
13;130.0;[0.010916403332375754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03964378052283826, 0.0, 0.024130996839988508, 0.010916403332375754]
14;140.0;[0.0, 0.0, 0.018241884515943694, 0.13401321459350762, 0.06592933065211146, 0.0018672795173800632, 0.0, 0.041941970698075266, 0.06434932490663603, 0.042803792013789144, 0.029014650962367137, 0.004596380350474002, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.020396437805228384, 0.03590922148807814, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0034472852628555013, 0.06894570525711002, 0.09077851192186154, 0.010916403332375754, 0.0005745475438092502, 0.010916403332375754, 0.0, 0.0, 0.0034472852628555013, 0.006320022981901752, 0.015512783682849756, 0.0017236426314277506, 0.012640045963803505, 0.0, 0.0, 0.04481470841712152, 0.02470554438379776]
16;160.0;[0.0, 0.021832806664751507, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.03447285262855501, 0.10514220051709279, 0.08560758402757829, 0.02240735420856076, 0.011490950876185005, 0.0, 0.0, 0.05917839701235277, 0.10011490950876185, 0.017308244757253663]
17;170.0;[0.0, 0.032461936225222636, 0.023269175524274634, 0.0, 0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.018385521401896008, 0.0, 0.005745475438092502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.00043091065785693766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021401896006894572, 0.026860097673082447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047400172364263145, 0.006032749209997127, 0.0]
19;190.0;[0.059896581442114336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04208560758402758, 0.03145647802355645, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03562194771617351, 0.02240735420856076]
20;200.0;[0.04021832806664752, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.012640045963803505, 0.03619649525998277, 0.09192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05357655846021258, 0.02757828210284401, 0.0, 0.018385521401896008, 0.0]
