;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.09135305946567078, 0.04538925596093077, 0.06492387245044527, 0.03562194771617351, 0.015512783682849756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.016087331226659007, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.06894570525711002, 0.04653835104854927, 0.05975294455616202, 0.0, 0.0, 0.012640045963803505, 0.004596380350474002, 0.02312553863832232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.06492387245044527, 0.04395288710140764, 0.0, 0.0, 0.0, 0.021114622234989944, 0.0, 0.0, 0.0, 0.004596380350474002, 0.04998563631140477, 0.0, 0.0, 0.0, 0.001292731973570813, 0.024561907497845446, 0.04165469692617064, 0.03131284113760414]
10;100.0;[0.0, 0.0, 0.0, 0.0950876185004309, 0.04941108876759552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.03045101982189026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.1189313415685148, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001292731973570813, 0.05616202240735421, 0.12065498419994254, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0017236426314277506, 0.05386383223211721, 0.07828210284401034, 0.08891123240448147, 0.01852915828784832]
13;130.0;[0.0, 0.0, 0.0, 0.05515656420568802, 0.004596380350474002, 0.0, 0.0, 0.0, 0.015512783682849756, 0.04136742315426602, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.006320022981901752, 0.05113473139902327, 0.06320022981901752, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002872737719046251, 0.01350186727951738, 0.09982763573685723, 0.08718758977305371, 0.024992818155702385, 0.0, 0.07641482332663029, 0.024130996839988508, 0.005745475438092502, 0.05975294455616202, 0.009767308244757253, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008330939385234128, 0.002585463947141626, 0.0, 0.0, 0.004021832806664752, 0.0, 0.018385521401896008, 0.05458201666187877, 0.009192760700948004, 0.006320022981901752, 0.0, 0.0, 0.0034472852628555013, 0.0]
16;160.0;[0.0, 0.038494685435219764, 0.06779661016949153, 0.05573111174949727, 0.021258259120942258, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.002872737719046251, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008618213157138753, 0.037920137891410514, 0.0857512209135306, 0.051565642056880204, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.02815282964665326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032174662453318015, 0.0, 0.007469118069520253, 0.0, 0.04136742315426602, 0.06837115771330078, 0.058029301924734274, 0.014938236139040505, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.03447285262855501, 0.10973858086756678, 0.04711289859235852, 0.02585463947141626, 0.032174662453318015, 0.0, 0.0, 0.0, 0.028727377190462512, 0.024130996839988508, 0.0]
20;200.0;[0.0, 0.0, 0.05113473139902327, 0.008618213157138753, 0.04653835104854927, 0.02700373455903476, 0.027291008330939386, 0.01465096236713588, 0.0, 0.0675093363975869, 0.01005458201666188, 0.0, 0.0, 0.021258259120942258, 0.0030163746049985635, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0]
21;210.0;[0.0, 0.0, 0.08733122665900603, 0.06434932490663603, 0.04883654122378627, 0.07756391841424878, 0.1350186727951738, 0.041941970698075266, 0.04438379775926458, 0.013645504165469693, 0.0, 0.0, 0.0, 0.028440103418557884, 0.011347313990232692, 0.0, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.07986210858948578, 0.06779661016949153, 0.08216029876472278, 0.06549841999425453, 0.12266590060327492, 0.0939385234128124, 0.05860384946854352, 0.017810973858086755, 0.0, 0.0, 0.0, 0.04208560758402758, 0.01005458201666188, 0.0, 0.0, 0.0, 0.0, 0.0]
