;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010629129560471129, 0.0014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04136742315426602, 0.016087331226659007]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002872737719046251, 0.09221488078138466, 0.002298190175237001, 0.0]
2;20.0;[0.03504740017236426, 0.029014650962367137, 0.003160011490950876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024130996839988508, 0.06032749209997127, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01292731973570813, 0.002585463947141626, 0.036771042803792016, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.010341855788566504, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.0, 0.06032749209997127, 0.10686584314852055, 0.009192760700948004]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.06449296179258834, 0.0, 0.03389830508474576, 0.011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032174662453318015, 0.02642918701522551, 0.01292731973570813, 0.15814421143349613, 0.057742028152829646, 0.014363688595231256]
5;50.0;[0.0, 0.0, 0.032174662453318015, 0.0, 0.04668198793450158, 0.0, 0.006320022981901752, 0.05113473139902327, 0.03504740017236426, 0.05429474288997414, 0.04108014938236139, 0.0, 0.0, 0.0, 0.021401896006894572, 0.0949439816144786, 0.07497845446710716, 0.019390979603562196, 0.04912381499569089, 0.0]
6;60.0;[0.0, 0.01350186727951738, 0.04136742315426602, 0.006320022981901752, 0.01407641482332663, 0.019534616489514506, 0.0, 0.0, 0.0, 0.0, 0.004021832806664752, 0.0, 0.0, 0.0, 0.0043091065785693765, 0.02298190175237001, 0.0, 0.0, 0.08043665613329504, 0.042516518241884516]
7;70.0;[0.0, 0.047974719908072394, 0.0, 0.0, 0.058029301924734274, 0.0011490950876185005, 0.0, 0.02585463947141626, 0.043091065785693765, 0.0011490950876185005, 0.011490950876185005, 0.0, 0.0, 0.0, 0.0, 0.008618213157138753, 0.012640045963803505, 0.036771042803792016, 0.09192760700948004, 0.0]
8;80.0;[0.0, 0.02298190175237001, 0.02642918701522551, 0.0, 0.019534616489514506, 0.02800919276070095, 0.018385521401896008, 0.06449296179258834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03648376903188739, 0.06908934214306234, 0.04438379775926458, 0.059896581442114336, 0.02068371157713301, 0.0]
9;90.0;[0.0, 0.0, 0.06808388394139615, 0.0, 0.0, 0.04495834530307383, 0.0, 0.023412812410226948, 0.03447285262855501, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.033611031312841134, 0.055012927319735706, 0.023987359954036197, 0.07856937661591497, 0.004021832806664752, 0.0]
