;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010341855788566504]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.008043665613329504, 0.0744039069232979, 0.10542947428899742, 0.02642918701522551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.008043665613329504, 0.013789141051422005, 0.04424016087331226, 0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0, 0.005458201666187877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.09307670209709853, 0.03332375754093651, 0.016661878770468257, 0.0, 0.0, 0.017810973858086755, 0.0, 0.0, 0.01350186727951738, 0.0, 0.004596380350474002, 0.0, 0.0, 0.10140764148233267, 0.01235277219189888, 0.0]
12;120.0;[0.0, 0.01407641482332663, 0.020396437805228384, 0.011490950876185005, 0.0, 0.1258259120942258, 0.043665613329503014, 0.0, 0.0, 0.016661878770468257, 0.015512783682849756, 0.0, 0.0, 0.0, 0.03921286986498133, 0.07856937661591497, 0.03562194771617351, 0.010341855788566504, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.016661878770468257, 0.021258259120942258, 0.03332375754093651, 0.07469118069520253, 0.0, 0.010341855788566504, 0.0, 0.02240735420856076, 0.0, 0.0, 0.02298190175237001, 0.0011490950876185005, 0.0, 0.0, 0.030738293593794888, 0.06004021832806665, 0.02484918126975007]
14;140.0;[0.00043091065785693766, 0.0, 0.02585463947141626, 0.0, 0.0, 0.017236426314277506, 0.07239299051996553, 0.024130996839988508, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03389830508474576, 0.0034472852628555013, 0.026716460787130136, 0.0, 0.0]
15;150.0;[0.001292731973570813, 0.09480034472852629, 0.14248779086469404, 0.016087331226659007, 0.0, 0.0, 0.02700373455903476, 0.10054582016661878, 0.014363688595231256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.057454754380925024, 0.11778224648089629, 0.054725653547831085, 0.0, 0.0, 0.0, 0.05400746911806952, 0.02298190175237001, 0.0017236426314277506, 0.008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.02642918701522551, 0.08460212582591209, 0.0, 0.0, 0.0, 0.016087331226659007, 0.014363688595231256, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.012065498419994254, 0.0, 0.0, 0.01982189026141913, 0.08503303648376903, 0.012065498419994254, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0007181844297615628, 0.0, 0.04481470841712152, 0.025567365699511634, 0.0, 0.0011490950876185005, 0.0017236426314277506, 0.0, 0.019534616489514506, 0.008043665613329504]
19;190.0;[0.031025567365699513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02571100258546395, 0.0, 0.0, 0.024130996839988508, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.010341855788566504, 0.015512783682849756]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.01350186727951738, 0.0, 0.0, 0.0, 0.020970985349037633, 0.0]
21;210.0;[0.0, 0.0, 0.004596380350474002, 0.002298190175237001, 0.04711289859235852, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.02240735420856076, 0.0, 0.0, 0.003160011490950876, 0.04481470841712152, 0.0, 0.0, 0.0, 0.06578569376615916, 0.004596380350474002]
22;220.0;[0.0, 0.0, 0.0, 0.0068945705257110025, 0.010916403332375754, 0.004596380350474002, 0.0, 0.0, 0.012640045963803505, 0.09537489227233553, 0.03720195346164895, 0.0, 0.0034472852628555013, 0.002872737719046251, 0.02068371157713301, 0.0, 0.0, 0.0, 0.03820741166331514, 0.002585463947141626]
23;230.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037920137891410514, 0.02815282964665326, 0.04711289859235852, 0.1064349324906636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
