;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007181844297615628, 0.0297328353921287, 0.0, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0, 0.0, 0.0, 0.1591496696351623, 0.043665613329503014, 0.1131858661304223, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037345590347601265, 0.0, 0.0, 0.13329503016374605, 0.041941970698075266, 0.08675667911519679, 0.2815282964665326, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12424590634875037, 0.11419132433208848, 0.057454754380925024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.05860384946854352, 0.024130996839988508, 0.20453892559609307, 0.10916403332375754, 0.037920137891410514]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.24992818155702384, 0.21258259120942258, 0.21085894857799484, 0.008618213157138753]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.010629129560471129, 0.02212008043665613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16317150244182707, 0.16202240735420856, 0.12855501292731975, 0.04711289859235852, 0.0]
5;50.0;[0.002872737719046251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040936512496409075, 0.06420568802068372, 0.09824762999138179, 0.0068945705257110025, 0.0, 0.0, 0.01694915254237288, 0.053145647802355644, 0.08934214306233841, 0.013214593507612756, 0.07411663315139327, 0.06908934214306234, 0.08560758402757829, 0.0]
6;60.0;[0.018098247629991383, 0.07038207411663315, 0.042803792013789144, 0.0, 0.0, 0.0, 0.037920137891410514, 0.0, 0.0, 0.03389830508474576, 0.0, 0.0, 0.01350186727951738, 0.002298190175237001, 0.0, 0.0, 0.12194771617351335, 0.2273771904625108, 0.08675667911519679, 0.0]
7;70.0;[0.10370583165756966, 0.0, 0.0, 0.004596380350474002, 0.0, 0.02528009192760701, 0.05242746337259408, 0.03375466819879345, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.013214593507612756, 0.05285837403045102, 0.028727377190462512, 0.10686584314852055, 0.03906923297902901, 0.0, 0.0]
8;80.0;[0.10485492674518816, 0.0, 0.0, 0.052571100258546395, 0.0, 0.006320022981901752, 0.08905486929043378, 0.0, 0.08833668486067223, 0.0, 0.0, 0.0, 0.017667336972134445, 0.055874748635449584, 0.05343292157426027, 0.05458201666187877, 0.07698937087043953, 0.0, 0.016230968112611318, 0.018816432059752943]
9;90.0;[0.06980752657282391, 0.06664751508187303, 0.0, 0.05486929043378339, 0.0, 0.0, 0.07526572823901177, 0.05917839701235277, 0.02025280091927607, 0.0, 0.0, 0.0, 0.0, 0.05458201666187877, 0.011490950876185005, 0.10370583165756966, 0.02298190175237001, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.1338695777075553, 0.0, 0.05357655846021258, 0.0, 0.0, 0.0011490950876185005, 0.016087331226659007, 0.010341855788566504, 0.0, 0.0, 0.0, 0.0, 0.1006894570525711, 0.08603849468543522, 0.10945130709566217, 0.008618213157138753, 0.0, 0.0, 0.0]
11;110.0;[0.016805515656420567, 0.04639471416259695, 0.02528009192760701, 0.05960930767020971, 0.0, 0.0, 0.04711289859235852, 0.0, 0.009767308244757253, 0.0, 0.0, 0.0, 0.03160011490950876, 0.10557311117494973, 0.006463659867854065, 0.0, 0.014363688595231256, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.039787417408790576, 0.06075840275782821, 0.08072392990519965, 0.0, 0.038494685435219764, 0.006320022981901752, 0.018385521401896008, 0.044671071531169206, 0.01795461074403907, 0.0, 0.0, 0.03160011490950876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.05903476012640046, 0.09738580867566791, 0.00502729100833094, 0.010916403332375754, 0.016661878770468257, 0.06894570525711002, 0.004596380350474002, 0.06075840275782821, 0.03404194197069808, 0.041941970698075266, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.018960068945705257, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.02815282964665326, 0.0857512209135306, 0.009192760700948004, 0.004596380350474002, 0.002585463947141626, 0.04840563056592933, 0.02427463372594082, 0.0, 0.011921861534041941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0, 0.0]
15;150.0;[0.0, 0.007469118069520253, 0.036340132145935074, 0.02298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01565642056880207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04596380350474002, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.03648376903188739, 0.042803792013789144, 0.018960068945705257, 0.013789141051422005, 0.012640045963803505, 0.0, 0.0, 0.0, 0.024130996839988508, 0.0, 0.0, 0.0021545532892846882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.02355644929617926, 0.05429474288997414, 0.006032749209997127, 0.03447285262855501, 0.0034472852628555013, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02255099109451307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.019534616489514506, 0.0, 0.03906923297902901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002872737719046251, 0.0, 0.017236426314277506, 0.0, 0.0, 0.0, 0.010916403332375754, 0.02642918701522551]
19;190.0;[0.0, 0.0068945705257110025, 0.02528009192760701, 0.07756391841424878, 0.02470554438379776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04998563631140477, 0.06492387245044527, 0.0, 0.0011490950876185005, 0.0, 0.07239299051996553, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.048261993679977015, 0.02642918701522551, 0.09537489227233553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010341855788566504, 0.05170927894283252, 0.0, 0.0, 0.037632864119505886, 0.08503303648376903, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.0663602413099684, 0.0068945705257110025, 0.08618213157138753, 0.14220051709278944, 0.007181844297615628, 0.0, 0.021258259120942258, 0.042516518241884516, 0.0034472852628555013, 0.01910370583165757, 0.05673656995116346, 0.037345590347601265, 0.0017236426314277506, 0.0, 0.06004021832806665, 0.07124389543234702, 0.0]
22;220.0;[0.0, 0.0, 0.0, 0.09738580867566791, 0.03160011490950876, 0.11174949727089917, 0.15642056880206837, 0.011060040218328066, 0.0, 0.02987647227808101, 0.03820741166331514, 0.002585463947141626, 0.04165469692617064, 0.09192760700948004, 0.01752370008618213, 0.0, 0.0, 0.06549841999425453, 0.06908934214306234, 0.0]
23;230.0;[0.0, 0.0, 0.002298190175237001, 0.10858948577994829, 0.004596380350474002, 0.010916403332375754, 0.0, 0.0, 0.013789141051422005, 0.0, 0.02470554438379776, 0.0, 0.05084745762711865, 0.01177822464808963, 0.06032749209997127, 0.05113473139902327, 0.07124389543234702, 0.11720769893708705, 0.05214018960068946, 0.0]
24;240.0;[0.06549841999425453, 0.0652111462223499, 0.06348750359092215, 0.009192760700948004, 0.05659293306521115, 0.009192760700948004, 0.0, 0.0, 0.0, 0.01005458201666188, 0.02757828210284401, 0.0043091065785693765, 0.008043665613329504, 0.028727377190462512, 0.08129847744900891, 0.09853490376328641, 0.017236426314277506, 0.018385521401896008, 0.05975294455616202, 0.0]
25;250.0;[0.004021832806664752, 0.0, 0.0, 0.0, 0.052571100258546395, 0.0037345590347601263, 0.009623671358804941, 0.03863832232117208, 0.0, 0.0, 0.0002872737719046251, 0.01120367710428038, 0.07009480034472852, 0.03332375754093651, 0.09480034472852629, 0.06348750359092215, 0.062051134731399026, 0.05573111174949727, 0.010341855788566504, 0.0]
26;260.0;[0.05458201666187877, 0.02240735420856076, 0.0, 0.0, 0.04151106004021833, 0.008905486929043378, 0.03863832232117208, 0.055587474863544956, 0.033036483769031885, 0.0, 0.0, 0.04079287561045677, 0.043665613329503014, 0.0, 0.0686584314852054, 0.0423728813559322, 0.0, 0.06262568227520827, 0.0, 0.0]
27;270.0;[0.0, 0.004596380350474002, 0.0, 0.018385521401896008, 0.04754380925021545, 0.03705831657569664, 0.006032749209997127, 0.0, 0.01350186727951738, 0.0, 0.0, 0.06377477736282677, 0.04941108876759552, 0.0, 0.02470554438379776, 0.011060040218328066, 0.0034472852628555013, 0.07526572823901177, 0.0, 0.0]
28;280.0;[0.0, 0.0, 0.0, 0.06075840275782821, 0.017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.03389830508474576, 0.0, 0.0, 0.0]
29;290.0;[0.0, 0.0, 0.005458201666187877, 0.05846021258259121, 0.02700373455903476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028727377190462512, 0.0, 0.0, 0.0, 0.03332375754093651, 0.028727377190462512, 0.0, 0.0, 0.0]
30;300.0;[0.0, 0.0, 0.04452743464521689, 0.0014363688595231256, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05242746337259408, 0.02068371157713301, 0.0, 0.021832806664751507, 0.03906923297902901, 0.0, 0.0, 0.0, 0.0]
31;310.0;[0.0005745475438092502, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07627118644067797, 0.018960068945705257, 0.07181844297615628, 0.04538925596093077, 0.0, 0.0, 0.02757828210284401, 0.0, 0.0]
32;320.0;[0.0, 0.057454754380925024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05975294455616202, 0.09939672507900028, 0.0, 0.0, 0.0, 0.006463659867854065, 0.013789141051422005, 0.0, 0.0]
33;330.0;[0.0, 0.02930192473427176, 0.04021832806664752, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03332375754093651, 0.021832806664751507, 0.010341855788566504, 0.0, 0.0, 0.00560183855214019, 0.07124389543234702, 0.0068945705257110025, 0.0]
