;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.02815282964665326, 0.07368572249353635, 0.013789141051422005, 0.05846021258259121, 0.0053145647802355644, 0.032174662453318015, 0.018385521401896008, 0.0005745475438092502, 0.09867854064923873, 0.021832806664751507, 0.048261993679977015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.03160011490950876, 0.03389830508474576, 0.039500143636885955, 0.0, 0.0, 0.0068945705257110025, 0.013789141051422005, 0.0, 0.03935650675093364, 0.0960930767020971, 0.0, 0.05515656420568802, 0.07239299051996553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.04567652973283539, 0.04941108876759552, 0.10226946279804654, 0.06779661016949153, 0.0, 0.0, 0.0, 0.013214593507612756, 0.06233840850330365, 0.08101120367710428, 0.0, 0.008618213157138753, 0.10629129560471129, 0.06075840275782821, 0.0, 0.0, 0.0, 0.016661878770468257, 0.0, 0.0]
3;30.0;[0.06391841424877909, 0.05702384372306808, 0.03332375754093651, 0.03504740017236426, 0.07584027578282103, 0.08043665613329504, 0.005745475438092502, 0.12065498419994254, 0.02355644929617926, 0.058029301924734274, 0.012065498419994254, 0.0, 0.00675093363975869, 0.03648376903188739, 0.0, 0.0, 0.0, 0.04481470841712152, 0.0, 0.0]
4;40.0;[0.02240735420856076, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.11605860384946855, 0.03045101982189026, 0.0, 0.0034472852628555013, 0.06090203964378052, 0.0, 0.021114622234989944, 0.060471128985923585, 0.05343292157426027, 0.04883654122378627, 0.024130996839988508, 0.04653835104854927, 0.0, 0.0]
5;50.0;[0.07124389543234702, 0.0, 0.03504740017236426, 0.0, 0.0, 0.0, 0.012640045963803505, 0.07813846595805803, 0.0, 0.007469118069520253, 0.037345590347601265, 0.0, 0.0, 0.0, 0.0, 0.011490950876185005, 0.07813846595805803, 0.0, 0.0, 0.0]
6;60.0;[0.05573111174949727, 0.0, 0.05127836828497558, 0.0, 0.0, 0.0, 0.0, 0.08503303648376903, 0.04653835104854927, 0.015512783682849756, 0.009192760700948004, 0.011490950876185005, 0.0, 0.0008618213157138753, 0.046825624820453896, 0.07296753806377478, 0.0, 0.03389830508474576, 0.002298190175237001, 0.0]
7;70.0;[0.04998563631140477, 0.0, 0.00560183855214019, 0.0, 0.012640045963803505, 0.010916403332375754, 0.0, 0.11950588911232404, 0.1591496696351623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05113473139902327, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0]
8;80.0;[0.0, 0.0043091065785693765, 0.004596380350474002, 0.0, 0.0755530020109164, 0.03964378052283826, 0.06420568802068372, 0.11045676529732835, 0.038494685435219764, 0.03174375179546107, 0.0, 0.021832806664751507, 0.021114622234989944, 0.02068371157713301, 0.07986210858948578, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.11950588911232404, 0.005458201666187877, 0.0, 0.0, 0.024992818155702385, 0.0, 0.024130996839988508, 0.0, 0.0, 0.07799482907210571, 0.0, 0.01694915254237288, 0.05300201091640333, 0.07928756104567652, 0.011490950876185005, 0.02010916403332376, 0.002298190175237001, 0.0, 0.0068945705257110025, 0.0]
10;100.0;[0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05056018385521402, 0.09652398735995403, 0.014938236139040505, 0.07153116920425165, 0.07871301350186728, 0.022838264866417695, 0.05975294455616202, 0.04424016087331226, 0.10341855788566504, 0.06722206262568227, 0.02068371157713301, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.04883654122378627, 0.05228382648664177, 0.0011490950876185005, 0.0, 0.013789141051422005, 0.02298190175237001, 0.07181844297615628, 0.1189313415685148, 0.03332375754093651, 0.06549841999425453, 0.023987359954036197, 0.07268026429187015, 0.021832806664751507, 0.0, 0.010916403332375754, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.06420568802068372, 0.025423728813559324, 0.009192760700948004, 0.03131284113760414, 0.12338408503303648, 0.1279804653835105, 0.1223786268313703, 0.16087331226659007, 0.11778224648089629, 0.04021832806664752, 0.002872737719046251, 0.010916403332375754, 0.017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.018960068945705257, 0.014938236139040505, 0.0011490950876185005, 0.0, 0.10456765297328353, 0.010341855788566504, 0.1327204826199368, 0.10112036771042804, 0.010341855788566504, 0.016087331226659007, 0.09882217753519104, 0.02298190175237001, 0.021832806664751507, 0.0017236426314277506, 0.012640045963803505, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.02528009192760701, 0.08158575122091354, 0.016661878770468257, 0.0034472852628555013, 0.05975294455616202, 0.06779661016949153, 0.15972421717897156, 0.05285837403045102, 0.0, 0.11519678253375466, 0.1318586613042229, 0.04538925596093077, 0.02930192473427176, 0.0, 0.0, 0.0, 0.002298190175237001, 0.00732548118356794, 0.001292731973570813]
15;150.0;[0.0011490950876185005, 0.0, 0.0, 0.057454754380925024, 0.07756391841424878, 0.06463659867854064, 0.1806952025280092, 0.09997127262280954, 0.03389830508474576, 0.03935650675093364, 0.12295317437517955, 0.0652111462223499, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.0, 0.0, 0.03289284688307958, 0.06363114047687446, 0.06377477736282677, 0.214162596954898, 0.09480034472852629, 0.041941970698075266, 0.15800057454754382, 0.07296753806377478, 0.02010916403332376, 0.03964378052283826, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.05386383223211721, 0.050129273197357084, 0.0, 0.07239299051996553, 0.07426027003734559, 0.05688020683711577, 0.08977305372019534, 0.08833668486067223, 0.17581154840563057, 0.10801493823613904, 0.04538925596093077, 0.05573111174949727, 0.010772766446423441, 0.03863832232117208, 0.0, 0.0, 0.03562194771617351, 0.019534616489514506, 0.006320022981901752, 0.0]
18;180.0;[0.0, 0.003160011490950876, 0.025567365699511634, 0.00043091065785693766, 0.07411663315139327, 0.01752370008618213, 0.14047687446136167, 0.14622234989945418, 0.07871301350186728, 0.05975294455616202, 0.09307670209709853, 0.05400746911806952, 0.03921286986498133, 0.07900028727377191, 0.0, 0.0, 0.0, 0.014938236139040505, 0.0, 0.0]
19;190.0;[0.021832806664751507, 0.04711289859235852, 0.02068371157713301, 0.010485492674518817, 0.0, 0.01580005745475438, 0.09796035621947716, 0.17092789428325195, 0.12668773340993966, 0.03878195920712439, 0.04481470841712152, 0.07239299051996553, 0.0927894283251939, 0.009623671358804941, 0.0, 0.0, 0.0, 0.02757828210284401, 0.05056018385521402, 0.006320022981901752]
