;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.012209135305946568, 0.04294742889974145, 0.009192760700948004, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024418270611893136, 0.03590922148807814, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.00043091065785693766, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.1016949152542373, 0.05573111174949727, 0.009192760700948004, 0.008618213157138753, 0.009192760700948004]
11;110.0;[0.0, 0.0, 0.0, 0.009910945130709566, 0.015512783682849756, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08043665613329504, 0.05271473714449871, 0.07655846021258259, 0.016661878770468257, 0.0, 0.009192760700948004, 0.0]
12;120.0;[0.0, 0.014938236139040505, 0.024561907497845446, 0.001292731973570813, 0.012065498419994254, 0.0, 0.0, 0.0, 0.01795461074403907, 0.03145647802355645, 0.024130996839988508, 0.0, 0.0, 0.002298190175237001, 0.04021832806664752, 0.05170927894283252, 0.0, 0.021832806664751507, 0.0767020970985349, 0.007756391841424878]
13;130.0;[0.0, 0.016661878770468257, 0.041941970698075266, 0.0, 0.0, 0.0, 0.016087331226659007, 0.0034472852628555013, 0.02987647227808101, 0.07354208560758403, 0.008043665613329504, 0.02010916403332376, 0.0034472852628555013, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.06377477736282677, 0.008043665613329504]
14;140.0;[0.0, 0.09192760700948004, 0.03906923297902901, 0.0, 0.0, 0.0, 0.0880494110887676, 0.09006032749209997, 0.05688020683711577, 0.041941970698075266, 0.058029301924734274, 0.0034472852628555013, 0.0, 0.04653835104854927, 0.0, 0.0, 0.012640045963803505, 0.08388394139615053, 0.02068371157713301, 0.0]
15;150.0;[0.041941970698075266, 0.05975294455616202, 0.12640045963803503, 0.028727377190462512, 0.0, 0.024992818155702385, 0.0686584314852054, 0.06607296753806377, 0.018385521401896008, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.018385521401896008, 0.0, 0.0, 0.04538925596093077, 0.014938236139040505, 0.02585463947141626, 0.0034472852628555013]
16;160.0;[0.0, 0.0, 0.002298190175237001, 0.002872737719046251, 0.0, 0.004596380350474002, 0.05630565929330652, 0.20066072967538065, 0.005170927894283252, 0.0, 0.04538925596093077, 0.0, 0.0, 0.0, 0.0, 0.036771042803792016, 0.0, 0.0, 0.005745475438092502, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0008618213157138753, 0.02470554438379776, 0.14808962941683423, 0.11835679402470554, 0.17724791726515368, 0.10198218902614191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.03389830508474576, 0.0]
18;180.0;[0.0, 0.0, 0.008618213157138753, 0.0469692617064062, 0.07339844872163172, 0.04783108302212008, 0.15598965814421142, 0.1144785981039931, 0.06952025280091928, 0.0005745475438092502, 0.0, 0.002872737719046251, 0.0, 0.0, 0.014938236139040505, 0.0, 0.0, 0.0, 0.03964378052283826, 0.0]
19;190.0;[0.0, 0.0, 0.004021832806664752, 0.1006894570525711, 0.00675093363975869, 0.00014363688595231256, 0.07813846595805803, 0.0412237862683137, 0.05630565929330652, 0.0, 0.04711289859235852, 0.009192760700948004, 0.021832806664751507, 0.07641482332663029, 0.036771042803792016, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.08230393565067509, 0.0, 0.0, 0.058029301924734274, 0.04998563631140477, 0.05960930767020971, 0.0034472852628555013, 0.009192760700948004, 0.0, 0.04438379775926458, 0.042516518241884516, 0.008043665613329504, 0.0, 0.0, 0.0017236426314277506, 0.029445561620224072, 0.0]
21;210.0;[0.0, 0.009192760700948004, 0.0, 0.10241309968399885, 0.0, 0.0, 0.06004021832806665, 0.028727377190462512, 0.05271473714449871, 0.011490950876185005, 0.008618213157138753, 0.014363688595231256, 0.049841999425452456, 0.04998563631140477, 0.007469118069520253, 0.006320022981901752, 0.03504740017236426, 0.0, 0.034616489514507326, 0.0]
22;220.0;[0.005745475438092502, 0.0, 0.0, 0.10772766446423442, 0.0, 0.0, 0.055300201091640334, 0.04079287561045677, 0.04510198218902614, 0.0, 0.0, 0.018385521401896008, 0.07282390117782246, 0.010916403332375754, 0.0, 0.0, 0.042516518241884516, 0.0, 0.01005458201666188, 0.0]
23;230.0;[0.012065498419994254, 0.0017236426314277506, 0.0, 0.09767308244757254, 0.09307670209709853, 0.06837115771330078, 0.07368572249353635, 0.06607296753806377, 0.07282390117782246, 0.04725653547831083, 0.05458201666187877, 0.0, 0.001292731973570813, 0.0, 0.004596380350474002, 0.0, 0.008043665613329504, 0.0, 0.002872737719046251, 0.0]
24;240.0;[0.0, 0.0, 0.037345590347601265, 0.11261131858661304, 0.09422579718471703, 0.0, 0.10054582016661878, 0.1338695777075553, 0.07339844872163172, 0.0, 0.0, 0.0, 0.040361964952599826, 0.07397299626544096, 0.028727377190462512, 0.004596380350474002, 0.029445561620224072, 0.0297328353921287, 0.02010916403332376, 0.002872737719046251]
25;250.0;[0.07224935363401322, 0.13228957196207985, 0.09120942257971847, 0.13487503590922148, 0.1726515369146797, 0.014938236139040505, 0.055587474863544956, 0.0914966963516231, 0.09436943407066935, 0.0, 0.0, 0.018385521401896008, 0.07584027578282103, 0.017236426314277506, 0.015512783682849756, 0.0, 0.0, 0.0, 0.0, 0.0]
26;260.0;[0.0068945705257110025, 0.0, 0.0, 0.06118931341568515, 0.16618787704682564, 0.01982189026141913, 0.07196207986210859, 0.03806377477736283, 0.16992243608158575, 0.0, 0.04481470841712152, 0.06952025280091928, 0.04136742315426602, 0.0, 0.06248204538925596, 0.13401321459350762, 0.10097673082447572, 0.0331801206549842, 0.0663602413099684, 0.0]
27;270.0;[0.0, 0.0, 0.0, 0.02068371157713301, 0.18859523125538638, 0.062051134731399026, 0.1016949152542373, 0.0005745475438092502, 0.17020970985349038, 0.09939672507900028, 0.021258259120942258, 0.0, 0.0, 0.009767308244757253, 0.05400746911806952, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0]
28;280.0;[0.0, 0.0, 0.0017236426314277506, 0.057454754380925024, 0.21559896581442115, 0.06722206262568227, 0.03906923297902901, 0.09221488078138466, 0.08833668486067223, 0.05759839126687733, 0.02700373455903476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506]
29;290.0;[0.0, 0.0, 0.0, 0.0011490950876185005, 0.1713588049411089, 0.025567365699511634, 0.007756391841424878, 0.11404768744613616, 0.04783108302212008, 0.05386383223211721, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30;300.0;[0.0, 0.0, 0.0, 0.005745475438092502, 0.19965527147371445, 0.018385521401896008, 0.00790002872737719, 0.13918414248779087, 0.07928756104567652, 0.03332375754093651, 0.018385521401896008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
31;310.0;[0.0, 0.0, 0.04151106004021833, 0.10212582591209422, 0.14895145073254812, 0.12912956047112897, 0.008761850043091065, 0.10959494398161448, 0.057454754380925024, 0.0, 0.0068945705257110025, 0.0, 0.004596380350474002, 0.0017236426314277506, 0.008043665613329504, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0]
32;320.0;[0.030594656707842574, 0.005745475438092502, 0.010916403332375754, 0.0, 0.04783108302212008, 0.10399310542947429, 0.09695489801781097, 0.1350186727951738, 0.07698937087043953, 0.0, 0.019390979603562196, 0.05300201091640333, 0.09594943981614479, 0.05285837403045102, 0.026716460787130136, 0.02815282964665326, 0.0, 0.042516518241884516, 0.0, 0.0]
33;330.0;[0.045820166618787704, 0.05688020683711577, 0.08790577420281528, 0.05343292157426027, 0.04553289284688308, 0.07584027578282103, 0.149813272048262, 0.17868428612467682, 0.05343292157426027, 0.058029301924734274, 0.04941108876759552, 0.002872737719046251, 0.06118931341568515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
34;340.0;[0.0, 0.0, 0.0, 0.014363688595231256, 0.09020396437805228, 0.05975294455616202, 0.2023843723068084, 0.20970985349037632, 0.05688020683711577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
35;350.0;[0.0, 0.012640045963803505, 0.04883654122378627, 0.1269750071818443, 0.07584027578282103, 0.12180407928756104, 0.20453892559609307, 0.18486067222062624, 0.1292731973570813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002585463947141626, 0.01465096236713588]
36;360.0;[0.017236426314277506, 0.0, 0.02010916403332376, 0.04538925596093077, 0.03389830508474576, 0.06908934214306234, 0.08158575122091354, 0.12525136455041655, 0.18371157713300776, 0.0043091065785693765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.015512783682849756]
37;370.0;[0.024130996839988508, 0.0, 0.06549841999425453, 0.08101120367710428, 0.0, 0.05960930767020971, 0.10586038494685435, 0.20094800344728525, 0.19261706406205115, 0.0002872737719046251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0]
38;380.0;[0.004596380350474002, 0.02240735420856076, 0.08216029876472278, 0.04998563631140477, 0.09523125538638322, 0.1509623671358805, 0.09853490376328641, 0.043091065785693765, 0.10629129560471129, 0.02298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.0068945705257110025, 0.0]
