;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02757828210284401, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04165469692617064, 0.01982189026141913, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00043091065785693766, 0.0018672795173800632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015512783682849756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02068371157713301, 0.002872737719046251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.02930192473427176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.02470554438379776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.017236426314277506, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.038494685435219764, 0.10399310542947429, 0.010341855788566504, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.018816432059752943, 0.015081873024992818, 0.0, 0.011490950876185005, 0.03691467968974432, 0.04179833381212295, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.028727377190462512, 0.05285837403045102, 0.09077851192186154, 0.03447285262855501, 0.004596380350474002, 0.013789141051422005, 0.006320022981901752, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.04481470841712152, 0.004596380350474002, 0.015512783682849756, 0.001580005745475438, 0.05070382074116633, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.008618213157138753, 0.07009480034472852, 0.017810973858086755, 0.06837115771330078, 0.02757828210284401, 0.009192760700948004, 0.021258259120942258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.0, 0.0005745475438092502, 0.058029301924734274, 0.042516518241884516, 0.02355644929617926, 0.0, 0.06032749209997127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02082734846308532, 0.0366274059178397, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.05515656420568802, 0.0, 0.06004021832806665, 0.0, 0.13257684573398448, 0.028871014076414823, 0.0, 0.005745475438092502, 0.0, 0.04711289859235852, 0.04538925596093077, 0.003160011490950876, 0.09451307095662166, 0.032749209997127264, 0.009192760700948004, 0.004596380350474002, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.009767308244757253, 0.031025567365699513, 0.04567652973283539, 0.037920137891410514, 0.06377477736282677, 0.0, 0.02757828210284401, 0.009192760700948004, 0.10341855788566504, 0.009767308244757253, 0.0, 0.002298190175237001, 0.08374030451019822, 0.035765584602125824, 0.018960068945705257, 0.010341855788566504, 0.0, 0.0]
16;160.0;[0.0, 0.0008618213157138753, 0.0, 0.050991094513070954, 0.05056018385521402, 0.07469118069520253, 0.055012927319735706, 0.02068371157713301, 0.018385521401896008, 0.10155127836828498, 0.05228382648664177, 0.02642918701522551, 0.001292731973570813, 0.03145647802355645, 0.02010916403332376, 0.021832806664751507, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.01465096236713588, 0.0, 0.045245619074978455, 0.032174662453318015, 0.02528009192760701, 0.06851479459925308, 0.010341855788566504, 0.03389830508474576, 0.15699511634587762, 0.16029876472278082, 0.0017236426314277506, 0.01177822464808963, 0.0, 0.0, 0.007469118069520253, 0.02930192473427176, 0.05688020683711577, 0.03562194771617351, 0.02528009192760701]
18;180.0;[0.07742028152829647, 0.009910945130709566, 0.05056018385521402, 0.04725653547831083, 0.0675093363975869, 0.019247342717609882, 0.07239299051996553, 0.05975294455616202, 0.1189313415685148, 0.07813846595805803, 0.03447285262855501, 0.02470554438379776, 0.011347313990232692, 0.00043091065785693766, 0.008043665613329504, 0.02355644929617926, 0.0, 0.06549841999425453, 0.05228382648664177, 0.0]
19;190.0;[0.047400172364263145, 0.10887675955185291, 0.18040792875610456, 0.04208560758402758, 0.03174375179546107, 0.04869290433783396, 0.06837115771330078, 0.02930192473427176, 0.09882217753519104, 0.09738580867566791, 0.053720195346164894, 0.002872737719046251, 0.07641482332663029, 0.06779661016949153, 0.06506750933639759, 0.06937661591496697, 0.06894570525711002, 0.015512783682849756, 0.03389830508474576, 0.0]
20;200.0;[0.0, 0.013789141051422005, 0.04323470267164608, 0.29115196782533753, 0.2160298764722781, 0.057454754380925024, 0.02082734846308532, 0.14464234415397875, 0.03160011490950876, 0.06664751508187303, 0.0008618213157138753, 0.10083309393852341, 0.07124389543234702, 0.03476012640045964, 0.047974719908072394, 0.04424016087331226, 0.0, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.09767308244757254, 0.20051709278942834, 0.21301350186727952, 0.13688595231255388, 0.0, 0.06320022981901752, 0.042516518241884516, 0.07928756104567652, 0.033611031312841134, 0.029589198506176386, 0.08201666187877046, 0.04668198793450158, 0.04998563631140477, 0.04711289859235852, 0.0, 0.0, 0.0, 0.0]
22;220.0;[0.05630565929330652, 0.0017236426314277506, 0.10097673082447572, 0.2322608445848894, 0.1817006607296754, 0.19635162309681126, 0.06032749209997127, 0.03447285262855501, 0.05070382074116633, 0.06765297328353921, 0.014938236139040505, 0.05113473139902327, 0.11979316288422867, 0.07253662740591783, 0.06004021832806665, 0.033036483769031885, 0.002872737719046251, 0.0, 0.0, 0.0]
23;230.0;[0.05400746911806952, 0.0043091065785693765, 0.029445561620224072, 0.12194771617351335, 0.042516518241884516, 0.2539500143636886, 0.2471990807239299, 0.1647515081873025, 0.138322321172077, 0.054725653547831085, 0.06492387245044527, 0.0, 0.04380925021545533, 0.03418557885665039, 0.028727377190462512, 0.01522550991094513, 0.0, 0.0, 0.0, 0.0]
24;240.0;[0.05443837977592646, 0.0, 0.0, 0.10456765297328353, 0.11419132433208848, 0.1558460212582591, 0.11648951450732548, 0.08891123240448147, 0.12065498419994254, 0.1361677678827923, 0.19074978454467106, 0.019534616489514506, 0.006320022981901752, 0.01235277219189888, 0.09178397012352772, 0.023987359954036197, 0.0, 0.0, 0.0, 0.0]
25;250.0;[0.05328928468830796, 0.0, 0.0, 0.14478598103993107, 0.04926745188164321, 0.08144211433496122, 0.14952599827635737, 0.055012927319735706, 0.04452743464521689, 0.05630565929330652, 0.21344441252513646, 0.18442976156276933, 0.12683137029589198, 0.10815857512209136, 0.10858948577994829, 0.0560183855214019, 0.0, 0.0, 0.0007181844297615628, 0.00675093363975869]
