;profondeur_(mm);root_proportion
28;280.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.05573111174949727, 0.0034472852628555013, 0.005170927894283252, 0.0068945705257110025, 0.0]
29;290.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03878195920712439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05515656420568802, 0.0011490950876185005, 0.0, 0.02642918701522551, 0.0]
30;300.0;[0.014363688595231256, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03993105429474289, 0.014794599253088193, 0.0, 0.0, 0.0, 0.0, 0.04912381499569089, 0.05630565929330652, 0.0, 0.0, 0.057454754380925024, 0.037920137891410514]
31;310.0;[0.023987359954036197, 0.061045676529732834, 0.05788566503878196, 0.007612754955472565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021401896006894572, 0.0, 0.0, 0.0, 0.016087331226659007, 0.18945705257110027, 0.11534041941970698, 0.015512783682849756, 0.021258259120942258, 0.10040218328066647, 0.007612754955472565]
32;320.0;[0.06779661016949153, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10571674806090205, 0.1258259120942258, 0.1944843435794312, 0.02298190175237001, 0.08962941683424304, 0.07009480034472852, 0.019390979603562196]
33;330.0;[0.009192760700948004, 0.019534616489514506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.012065498419994254, 0.15081873024992817, 0.2795173800632002, 0.0880494110887676, 0.17595518529158288, 0.17121516805515657, 0.012640045963803505]
34;340.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02700373455903476, 0.07914392415972421, 0.17020970985349038, 0.38078138465958056, 0.05185291582878483, 0.18241884515943693, 0.19074978454467106, 0.10112036771042804, 0.0]
35;350.0;[0.0, 0.010916403332375754, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011490950876185005, 0.10858948577994829, 0.12611318586613043, 0.11232404481470842, 0.3126975007181844, 0.1638896868715886, 0.18471703533467396, 0.10657856937661592, 0.06664751508187303, 0.037920137891410514]
36;360.0;[0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07900028727377191, 0.05113473139902327, 0.0, 0.010341855788566504, 0.23728813559322035, 0.049841999425452456, 0.21344441252513646, 0.01694915254237288, 0.06535478310830221, 0.004596380350474002]
37;370.0;[0.002872737719046251, 0.018960068945705257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012065498419994254, 0.0847457627118644, 0.03332375754093651, 0.07282390117782246, 0.20899166906061475, 0.16676242459063487, 0.13300775639184143, 0.053720195346164894, 0.047974719908072394, 0.01967825337546682, 0.0]
