;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.005170927894283252, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0034472852628555013, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.015081873024992818, 0.0021545532892846882, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03504740017236426, 0.0034472852628555013, 0.0, 0.0011490950876185005, 0.019534616489514506, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.002872737719046251, 0.047974719908072394, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.021258259120942258, 0.0, 0.032749209997127264, 0.07411663315139327, 0.03964378052283826, 0.0, 0.0, 0.04337833955759839, 0.016661878770468257, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06952025280091928, 0.0, 0.0, 0.0005745475438092502, 0.02068371157713301, 0.04941108876759552, 0.010341855788566504, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04596380350474002, 0.02585463947141626, 0.0, 0.0, 0.0008618213157138753, 0.1318586613042229, 0.0, 0.05343292157426027, 0.0, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06377477736282677, 0.0, 0.0, 0.0, 0.05486929043378339, 0.04510198218902614, 0.05975294455616202, 0.05515656420568802, 0.0, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049841999425452456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017236426314277506, 0.08790577420281528, 0.007756391841424878, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1317150244182706, 0.0, 0.027721918988796324, 0.0377765010054582, 0.0, 0.0, 0.0, 0.0, 0.018098247629991383, 0.0]
16;160.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05228382648664177, 0.07469118069520253, 0.009192760700948004, 0.02585463947141626, 0.05917839701235277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03504740017236426, 0.04266015512783683, 0.044096523987359956, 0.0, 0.09164033323757541, 0.026716460787130136, 0.03935650675093364, 0.0, 0.0, 0.0, 0.0]
18;180.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.057454754380925024, 0.057454754380925024, 0.002298190175237001, 0.08905486929043378, 0.010916403332375754, 0.03476012640045964, 0.024130996839988508, 0.0, 0.0, 0.0]
19;190.0;[0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06320022981901752, 0.10916403332375754, 0.12640045963803503, 0.042516518241884516, 0.0, 0.02700373455903476, 0.0, 0.0, 0.0]
20;200.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02700373455903476, 0.14593507612754955, 0.3125538638322321, 0.038494685435219764, 0.14593507612754955, 0.049841999425452456, 0.050129273197357084, 0.05185291582878483, 0.0, 0.0, 0.0]
21;210.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02470554438379776, 0.07382935937948865, 0.22378626831370296, 0.16834243033611032, 0.002872737719046251, 0.05975294455616202, 0.0, 0.021832806664751507, 0.028583740304510198, 0.0011490950876185005, 0.0, 0.0]
22;220.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.005745475438092502, 0.0, 0.0, 0.037920137891410514, 0.14952599827635737, 0.2937374317724792, 0.08058029301924734, 0.02528009192760701, 0.06162022407354208, 0.0, 0.0, 0.014363688595231256, 0.017236426314277506, 0.0, 0.0]
23;230.0;[0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.13961505314564782, 0.04136742315426602, 0.02930192473427176, 0.21904625107727665, 0.09451307095662166, 0.03145647802355645, 0.050991094513070954, 0.11979316288422867, 0.0972421717897156, 0.0, 0.0, 0.0, 0.0, 0.06765297328353921, 0.009336397586900316]
24;240.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.08503303648376903, 0.2711864406779661, 0.21071531169204252, 0.042516518241884516, 0.0, 0.0011490950876185005, 0.06320022981901752, 0.02642918701522551, 0.04452743464521689, 0.16963516230968112, 0.0696638896868716, 0.0721057167480609, 0.07382935937948865, 0.0068945705257110025, 0.0]
25;250.0;[0.0, 0.0, 0.0, 0.0, 0.03964378052283826, 0.09968399885090491, 0.13702958919850616, 0.06276931916116059, 0.05630565929330652, 0.02757828210284401, 0.0, 0.0, 0.0, 0.002298190175237001, 0.05056018385521402, 0.07813846595805803, 0.0, 0.0, 0.0, 0.0]
26;260.0;[0.0, 0.0, 0.0, 0.005745475438092502, 0.032749209997127264, 0.07023843723068084, 0.1200804366561333, 0.1315713875323183, 0.047687446136167766, 0.004596380350474002, 0.0, 0.0, 0.04481470841712152, 0.17351335823039357, 0.07354208560758403, 0.0, 0.0, 0.0011490950876185005, 0.0, 0.0]
27;270.0;[0.0, 0.0, 0.0, 0.021832806664751507, 0.0, 0.06363114047687446, 0.057454754380925024, 0.05975294455616202, 0.009192760700948004, 0.0, 0.0, 0.0, 0.043665613329503014, 0.09106578569376617, 0.07842573972996265, 0.032174662453318015, 0.019534616489514506, 0.008043665613329504, 0.0, 0.0]
28;280.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.02930192473427176, 0.016661878770468257, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.13099683998850906, 0.019534616489514506, 0.09192760700948004, 0.09480034472852629, 0.018385521401896008, 0.0, 0.0, 0.0]
29;290.0;[0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.0824475725366274, 0.0606147658718759, 0.06952025280091928, 0.07641482332663029, 0.08733122665900603, 0.06449296179258834, 0.05673656995116346, 0.042516518241884516, 0.027865555874748635, 0.12855501292731975, 0.050991094513070954, 0.0, 0.0, 0.0, 0.0]
30;300.0;[0.0, 0.0, 0.0, 0.0, 0.028727377190462512, 0.03590922148807814, 0.007181844297615628, 0.0, 0.02642918701522551, 0.048261993679977015, 0.010916403332375754, 0.004596380350474002, 0.009192760700948004, 0.01752370008618213, 0.07612754955472566, 0.0, 0.0, 0.0, 0.0, 0.0]
31;310.0;[0.0, 0.0, 0.0, 0.004596380350474002, 0.021832806664751507, 0.0, 0.0, 0.0, 0.09594943981614479, 0.07900028727377191, 0.029589198506176386, 0.024130996839988508, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
32;320.0;[0.0, 0.0, 0.0, 0.02470554438379776, 0.0, 0.0, 0.005458201666187877, 0.11806952025280092, 0.1246768170066073, 0.14938236139040506, 0.0, 0.009192760700948004, 0.009192760700948004, 0.0, 0.0, 0.0, 0.08445848893995977, 0.04021832806664752, 0.021832806664751507, 0.0]
33;330.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03935650675093364, 0.06004021832806665, 0.05917839701235277, 0.0767020970985349, 0.04538925596093077, 0.0, 0.0, 0.0, 0.0, 0.002872737719046251, 0.0, 0.048261993679977015, 0.07066934788853778, 0.013789141051422005]
34;340.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.030163746049985635, 0.03332375754093651, 0.028583740304510198, 0.0, 0.0, 0.0, 0.0, 0.014220051709278942, 0.02528009192760701, 0.061476587187589776, 0.0]
35;350.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007469118069520253, 0.06090203964378052, 0.04538925596093077, 0.04323470267164608, 0.02642918701522551, 0.012065498419994254, 0.0, 0.008618213157138753, 0.04151106004021833, 0.02585463947141626, 0.12525136455041655, 0.02240735420856076]
36;360.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03562194771617351, 0.06434932490663603, 0.05860384946854352, 0.0, 0.0, 0.0, 0.0, 0.010341855788566504, 0.032174662453318015, 0.02757828210284401, 0.0, 0.04898017810973858, 0.0]
37;370.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.0011490950876185005, 0.0, 0.032174662453318015, 0.0, 0.0005745475438092502, 0.0005745475438092502, 0.009192760700948004, 0.0, 0.005458201666187877, 0.009623671358804941, 0.0]
38;380.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02298190175237001, 0.03332375754093651, 0.0, 0.04941108876759552, 0.0, 0.0, 0.0, 0.005170927894283252, 0.018385521401896008, 0.0, 0.03935650675093364, 0.014220051709278942, 0.0]
39;390.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017236426314277506, 0.0, 0.0, 0.016087331226659007, 0.0, 0.0, 0.0, 0.0, 0.07698937087043953, 0.0, 0.0, 0.040936512496409075, 0.0]
40;400.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018960068945705257, 0.02585463947141626, 0.0, 0.0, 0.0, 0.0, 0.021832806664751507, 0.04941108876759552, 0.0, 0.0, 0.03619649525998277, 0.0034472852628555013]
