;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.11016949152542373, 0.043091065785693765, 0.10686584314852055, 0.06434932490663603, 0.0, 0.015512783682849756, 0.0, 0.02815282964665326, 0.07871301350186728, 0.009192760700948004, 0.12841137604136743, 0.1440677966101695, 0.016087331226659007, 0.02642918701522551, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.013070956621660442, 0.01738006320022982, 0.11735133582303936, 0.0, 0.0, 0.04653835104854927, 0.07698937087043953, 0.08388394139615053, 0.04151106004021833, 0.03720195346164895, 0.0011490950876185005, 0.04136742315426602, 0.15527147371444988, 0.03906923297902901, 0.006320022981901752, 0.0034472852628555013, 0.016087331226659007, 0.0]
2;20.0;[0.0, 0.021258259120942258, 0.07497845446710716, 0.18328066647515082, 0.10456765297328353, 0.0, 0.0, 0.0, 0.010341855788566504, 0.09997127262280954, 0.005745475438092502, 0.0, 0.0, 0.004883654122378627, 0.03590922148807814, 0.0, 0.0, 0.018385521401896008, 0.0, 0.0]
3;30.0;[0.09824762999138179, 0.14363688595231255, 0.15326055731111748, 0.20554438379775927, 0.17064062051134732, 0.014363688595231256, 0.0, 0.002872737719046251, 0.0, 0.09480034472852629, 0.13099683998850906, 0.010916403332375754, 0.0, 0.04625107727664464, 0.02930192473427176, 0.0034472852628555013, 0.0, 0.02355644929617926, 0.019534616489514506, 0.02987647227808101]
4;40.0;[0.08618213157138753, 0.15038781959207123, 0.004596380350474002, 0.09422579718471703, 0.14392415972421718, 0.16661878770468255, 0.08273484630853203, 0.0, 0.02470554438379776, 0.035191037058316575, 0.18500430910657856, 0.008043665613329504, 0.0, 0.037920137891410514, 0.0, 0.07354208560758403, 0.19534616489514509, 0.07081298477449009, 0.08905486929043378, 0.0]
5;50.0;[0.17882792301062914, 0.08560758402757829, 0.08273484630853203, 0.08934214306233841, 0.20985349037632864, 0.12884228669922437, 0.05113473139902327, 0.015512783682849756, 0.0, 0.05271473714449871, 0.08675667911519679, 0.04424016087331226, 0.047687446136167766, 0.062051134731399026, 0.0, 0.03964378052283826, 0.2081298477449009, 0.28756104567652974, 0.11605860384946855, 0.002298190175237001]
6;60.0;[0.16259695489801781, 0.0, 0.019534616489514506, 0.09781671933352484, 0.062051134731399026, 0.09939672507900028, 0.07009480034472852, 0.0034472852628555013, 0.0709566216604424, 0.051996552714737146, 0.012640045963803505, 0.05170927894283252, 0.05400746911806952, 0.07526572823901177, 0.0, 0.10916403332375754, 0.18442976156276933, 0.1839988509049124, 0.06262568227520827, 0.012209135305946568]
7;70.0;[0.07124389543234702, 0.0, 0.0, 0.07311117494972709, 0.016087331226659007, 0.008043665613329504, 0.04883654122378627, 0.009767308244757253, 0.08776213731686297, 0.01738006320022982, 0.0, 0.05975294455616202, 0.041941970698075266, 0.0, 0.0, 0.07698937087043953, 0.13099683998850906, 0.10787130135018673, 0.07454754380925022, 0.02987647227808101]
8;80.0;[0.0021545532892846882, 0.0, 0.041941970698075266, 0.0021545532892846882, 0.037345590347601265, 0.014938236139040505, 0.043091065785693765, 0.04151106004021833, 0.05458201666187877, 0.062051134731399026, 0.12367135880494111, 0.1648951450732548, 0.09767308244757254, 0.04424016087331226, 0.0, 0.0, 0.15196782533754669, 0.06664751508187303, 0.11002585463947141, 0.018960068945705257]
9;90.0;[0.007038207411663315, 0.0, 0.004596380350474002, 0.03030738293593795, 0.0005745475438092502, 0.03447285262855501, 0.012640045963803505, 0.013070956621660442, 0.028727377190462512, 0.06722206262568227, 0.07339844872163172, 0.1281241022694628, 0.0, 0.0011490950876185005, 0.058891123240448144, 0.03705831657569664, 0.08014938236139041, 0.10456765297328353, 0.09336397586900316, 0.0]
10;100.0;[0.019965527147371445, 0.0, 0.011490950876185005, 0.0914966963516231, 0.014938236139040505, 0.002872737719046251, 0.002298190175237001, 0.0, 0.03332375754093651, 0.021832806664751507, 0.058029301924734274, 0.02757828210284401, 0.04898017810973858, 0.07598391266877334, 0.09235851766733698, 0.02255099109451307, 0.028727377190462512, 0.11993679977018099, 0.11878770468256249, 0.0]
11;110.0;[0.012783682849755817, 0.005745475438092502, 0.017236426314277506, 0.04955472565354783, 0.018385521401896008, 0.0, 0.0, 0.0, 0.008043665613329504, 0.05400746911806952, 0.018385521401896008, 0.0, 0.0, 0.024130996839988508, 0.08072392990519965, 0.02528009192760701, 0.015512783682849756, 0.08230393565067509, 0.16676242459063487, 0.07339844872163172]
12;120.0;[0.0068945705257110025, 0.02427463372594082, 0.0011490950876185005, 0.10313128411376041, 0.02298190175237001, 0.0, 0.0, 0.0, 0.006320022981901752, 0.021258259120942258, 0.03964378052283826, 0.019534616489514506, 0.04998563631140477, 0.05573111174949727, 0.0, 0.10054582016661878, 0.07569663889686871, 0.22924446997989084, 0.1568514794599253, 0.035981039931054296]
13;130.0;[0.0, 0.022838264866417695, 0.008618213157138753, 0.10485492674518816, 0.0, 0.0, 0.0, 0.0, 0.004165469692617064, 0.036340132145935074, 0.0043091065785693765, 0.004596380350474002, 0.032174662453318015, 0.021258259120942258, 0.0, 0.010341855788566504, 0.11189313415685148, 0.2507900028727377, 0.08618213157138753, 0.0]
