;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.037920137891410514, 0.024130996839988508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024418270611893133, 0.00790002872737719, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.004596380350474002, 0.0, 0.03504740017236426, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0068945705257110025, 0.06090203964378052, 0.0008618213157138753, 0.0, 0.02010916403332376, 0.004596380350474002]
2;20.0;[0.0, 0.0, 0.0, 0.014507325481183568, 0.0, 0.0, 0.02355644929617926, 0.047687446136167766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002298190175237001, 0.005458201666187877, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.05903476012640046, 0.004596380350474002, 0.0, 0.021832806664751507, 0.0, 0.02815282964665326, 0.0, 0.03619649525998277, 0.048261993679977015, 0.004596380350474002, 0.0, 0.03332375754093651, 0.009192760700948004, 0.0, 0.010916403332375754, 0.0, 0.0]
4;40.0;[0.0, 0.028727377190462512, 0.03964378052283826, 0.004596380350474002, 0.08043665613329504, 0.0, 0.0034472852628555013, 0.036771042803792016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009767308244757253, 0.0, 0.0, 0.04596380350474002, 0.1098822177535191, 0.016518241884515943]
5;50.0;[0.01795461074403907, 0.00043091065785693766, 0.0, 0.04136742315426602, 0.0, 0.0, 0.013789141051422005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03447285262855501, 0.07928756104567652, 0.0, 0.0, 0.002585463947141626, 0.008330939385234128]
6;60.0;[0.017810973858086755, 0.0, 0.023412812410226948, 0.003590922148807814, 0.0, 0.021258259120942258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040361964952599826, 0.018816432059752943, 0.03964378052283826, 0.0, 0.0, 0.0, 0.032749209997127264, 0.005745475438092502]
7;70.0;[0.07928756104567652, 0.009767308244757253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02528009192760701, 0.013789141051422005, 0.005745475438092502, 0.02642918701522551, 0.0, 0.0, 0.010916403332375754, 0.0]
8;80.0;[0.05113473139902327, 0.031025567365699513, 0.0034472852628555013, 0.012640045963803505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.05975294455616202, 0.12295317437517955, 0.07009480034472852, 0.13559322033898305, 0.0, 0.0, 0.006320022981901752, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0, 0.02987647227808101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.03562194771617351, 0.05458201666187877, 0.005170927894283252, 0.06664751508187303, 0.0, 0.0, 0.031025567365699513, 0.027865555874748635, 0.01177822464808963, 0.0, 0.0, 0.002298190175237001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.036771042803792016, 0.06377477736282677, 0.12022407354208561, 0.07742028152829647, 0.16690606147658718, 0.057167480609020396, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.02010916403332376, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.1075840275782821, 0.07339844872163172, 0.002872737719046251, 0.03562194771617351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008618213157138753, 0.0, 0.004596380350474002, 0.02528009192760701, 0.012065498419994254, 0.05343292157426027, 0.04136742315426602, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.05515656420568802, 0.015512783682849756, 0.09192760700948004, 0.05917839701235277, 0.04969836253950014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.005170927894283252, 0.04151106004021833, 0.06937661591496697, 0.0, 0.006320022981901752, 0.04998563631140477, 0.0, 0.01982189026141913, 0.0017236426314277506]
14;140.0;[0.0, 0.05400746911806952, 0.06032749209997127, 0.08043665613329504, 0.04854926745188164, 0.043665613329503014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005170927894283252, 0.013932777937374317, 0.00043091065785693766, 0.0, 0.02930192473427176, 0.05400746911806952, 0.0, 0.028440103418557884, 0.04998563631140477]
15;150.0;[0.004596380350474002, 0.02355644929617926, 0.0, 0.0, 0.0, 0.06262568227520827, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.006320022981901752, 0.0, 0.0, 0.021832806664751507, 0.0, 0.0, 0.0, 0.008043665613329504]
