;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.004596380350474002, 0.07569663889686871, 0.007469118069520253, 0.006463659867854065, 0.07454754380925022, 0.015512783682849756, 0.06549841999425453, 0.008043665613329504, 0.015512783682849756, 0.047687446136167766, 0.0, 0.05630565929330652, 0.017810973858086755, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.05673656995116346, 0.13315139327779374, 0.11648951450732548, 0.0, 0.0, 0.0, 0.08675667911519679, 0.048261993679977015, 0.010341855788566504, 0.0, 0.0, 0.0, 0.0, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.034903763286411954, 0.07196207986210859, 0.15225509910945131, 0.18457339844872164, 0.1715024418270612, 0.0, 0.0, 0.0, 0.0, 0.07698937087043953, 0.021258259120942258, 0.006320022981901752, 0.0, 0.003878195920712439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.05458201666187877, 0.10916403332375754, 0.03619649525998277, 0.14263142775064636, 0.11261131858661304, 0.06779661016949153, 0.013789141051422005, 0.0, 0.0, 0.037345590347601265, 0.16432059752944556, 0.009767308244757253, 0.0, 0.007612754955472565, 0.06032749209997127, 0.008043665613329504, 0.0, 0.004596380350474002, 0.03332375754093651, 0.016087331226659007]
4;40.0;[0.013789141051422005, 0.12410226946279805, 0.0, 0.0, 0.12194771617351335, 0.10399310542947429, 0.06434932490663603, 0.009192760700948004, 0.0, 0.028727377190462512, 0.08905486929043378, 0.009767308244757253, 0.038494685435219764, 0.04998563631140477, 0.0, 0.008043665613329504, 0.08402757828210285, 0.0640620511347314, 0.05515656420568802, 0.0]
5;50.0;[0.09824762999138179, 0.012640045963803505, 0.0, 0.043665613329503014, 0.07224935363401322, 0.06607296753806377, 0.08848032174662453, 0.017236426314277506, 0.0, 0.04711289859235852, 0.049841999425452456, 0.023700086182131572, 0.04998563631140477, 0.06463659867854064, 0.01738006320022982, 0.06822752082734847, 0.07584027578282103, 0.14435507038207412, 0.002872737719046251, 0.0]
6;60.0;[0.012640045963803505, 0.0, 0.0, 0.05458201666187877, 0.0, 0.021258259120942258, 0.010341855788566504, 0.004596380350474002, 0.06794024705544384, 0.00847457627118644, 0.0, 0.016230968112611318, 0.013789141051422005, 0.006032749209997127, 0.0, 0.06894570525711002, 0.1350186727951738, 0.06607296753806377, 0.0, 0.00675093363975869]
7;70.0;[0.014363688595231256, 0.0, 0.0, 0.016087331226659007, 0.0, 0.0, 0.017810973858086755, 0.014363688595231256, 0.06607296753806377, 0.018672795173800633, 0.022694627980465384, 0.09982763573685723, 0.07296753806377478, 0.0, 0.0, 0.016661878770468257, 0.12065498419994254, 0.0, 0.016087331226659007, 0.02197644355070382]
8;80.0;[0.005745475438092502, 0.0, 0.0, 0.0, 0.013789141051422005, 0.0034472852628555013, 0.021832806664751507, 0.017236426314277506, 0.02642918701522551, 0.02470554438379776, 0.1223786268313703, 0.11505314564780235, 0.04639471416259695, 0.04668198793450158, 0.0, 0.008043665613329504, 0.04596380350474002, 0.0, 0.04438379775926458, 0.0]
9;90.0;[0.0037345590347601263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05113473139902327, 0.04596380350474002, 0.047687446136167766, 0.08718758977305371, 0.03447285262855501, 0.0068945705257110025, 0.04941108876759552, 0.015512783682849756, 0.0, 0.0, 0.028583740304510198, 0.0]
10;100.0;[0.0008618213157138753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004021832806664752, 0.03906923297902901, 0.02298190175237001, 0.004596380350474002, 0.032174662453318015, 0.08532031025567366, 0.026141913243320884, 0.0034472852628555013, 0.0, 0.0, 0.06894570525711002, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006320022981901752, 0.0, 0.0, 0.0, 0.019534616489514506, 0.005745475438092502, 0.02930192473427176, 0.0, 0.02585463947141626, 0.047687446136167766, 0.008043665613329504]
12;120.0;[0.0, 0.0, 0.0, 0.03705831657569664, 0.0, 0.0, 0.0, 0.0, 0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.02355644929617926, 0.0, 0.0, 0.0017236426314277506, 0.06075840275782821, 0.05860384946854352, 0.0]
13;130.0;[0.0, 0.0, 0.0, 0.03533467394426889, 0.0, 0.0, 0.0, 0.0, 0.02700373455903476, 0.05400746911806952, 0.01752370008618213, 0.0, 0.0034472852628555013, 0.0, 0.0, 0.0, 0.012065498419994254, 0.11964952599827636, 0.0034472852628555013, 0.0]
14;140.0;[0.0, 0.0, 0.0, 0.0068945705257110025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016087331226659007, 0.09652398735995403, 0.004596380350474002, 0.02642918701522551, 0.0, 0.0, 0.0, 0.03160011490950876, 0.0005745475438092502, 0.0, 0.0]
15;150.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018385521401896008, 0.01177822464808963, 0.0017236426314277506, 0.02757828210284401, 0.0, 0.0, 0.041941970698075266, 0.021832806664751507, 0.0, 0.0, 0.0]
