;profondeur_(mm);root_proportion
0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2;20.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3;30.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4;40.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;50.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6;60.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7;70.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8;80.0;[0.0017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048261993679977015, 0.03562194771617351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9;90.0;[0.007469118069520253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10;100.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11;110.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;120.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014220051709278942, 0.004596380350474002, 0.0007181844297615628, 0.0021545532892846882, 0.0, 0.0, 0.0, 0.0]
13;130.0;[0.004596380350474002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016805515656420567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14;140.0;[0.016230968112611318, 0.05673656995116346, 0.02068371157713301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04653835104854927, 0.014938236139040505, 0.0, 0.0, 0.0, 0.0, 0.0]
15;150.0;[0.08445848893995977, 0.04883654122378627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034472852628555013, 0.015512783682849756, 0.0017236426314277506, 0.03964378052283826, 0.0, 0.0, 0.0, 0.0]
16;160.0;[0.013789141051422005, 0.0950876185004309, 0.0629129560471129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009192760700948004, 0.0, 0.0, 0.0, 0.0]
17;170.0;[0.02298190175237001, 0.08273484630853203, 0.12295317437517955, 0.10600402183280666, 0.07181844297615628, 0.06090203964378052, 0.036771042803792016, 0.0, 0.0, 0.0, 0.0, 0.012640045963803505, 0.0, 0.0, 0.0, 0.0, 0.0594656707842574, 0.07986210858948578, 0.037920137891410514, 0.03504740017236426]
18;180.0;[0.0, 0.0, 0.05788566503878196, 0.01982189026141913, 0.03346739442688883, 0.0, 0.017236426314277506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11189313415685148, 0.016087331226659007]
19;190.0;[0.0034472852628555013, 0.1453605285837403, 0.0811548405630566, 0.15053145647802355, 0.15196782533754669, 0.14607871301350187, 0.018385521401896008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019534616489514506, 0.06032749209997127, 0.014220051709278942]
20;200.0;[0.0389255960930767, 0.2013789141051422, 0.1783970123527722, 0.13559322033898305, 0.1703533467394427, 0.08876759551852915, 0.22594082160298765, 0.07167480609020396, 0.048261993679977015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042516518241884516, 0.0011490950876185005, 0.014363688595231256]
21;210.0;[0.0366274059178397, 0.22464808962941685, 0.15282964665326057, 0.13559322033898305, 0.13358230393565068, 0.0847457627118644, 0.1350186727951738, 0.11864406779661017, 0.021258259120942258, 0.011490950876185005, 0.0, 0.012065498419994254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04941108876759552, 0.008043665613329504, 0.0]
22;220.0;[0.02528009192760701, 0.12783682849755817, 0.09882217753519104, 0.058029301924734274, 0.11304222924446998, 0.1292731973570813, 0.18715886239586327, 0.05860384946854352, 0.04424016087331226, 0.00732548118356794, 0.03030738293593795, 0.027721918988796324, 0.043665613329503014, 0.021258259120942258, 0.0, 0.0, 0.017236426314277506, 0.07382935937948865, 0.02427463372594082, 0.0]
23;230.0;[0.04165469692617064, 0.0008618213157138753, 0.0, 0.07066934788853778, 0.07598391266877334, 0.09709853490376329, 0.08603849468543522, 0.04941108876759552, 0.0, 0.04151106004021833, 0.009767308244757253, 0.0, 0.03562194771617351, 0.0011490950876185005, 0.017810973858086755, 0.0034472852628555013, 0.0034472852628555013, 0.0, 0.001292731973570813, 0.0]
